runId,command,group,number,ipiCallbackUs,captureAndControlSelectionUs,vmcsProgrammingUs,entryContinuationUs
transition-resident-nested-hidehv-20260915T231205851Z,resident-nested-hidehv,0,0,72.7,13.4,4.7,26.5
transition-resident-nested-hidehv-20260915T231205851Z,resident-nested-hidehv,0,1,71.6,13.3,4.9,26.7
transition-resident-nested-hidehv-20260915T231205851Z,resident-nested-hidehv,0,2,76.4,13.4,5.0,31.9
transition-resident-nested-hidehv-20260915T231205851Z,resident-nested-hidehv,0,3,73.4,13.5,4.9,28.6
transition-resident-nested-hidehv-20260915T231300729Z,resident-nested-hidehv,0,0,73.2,13.6,5.0,19.5
transition-resident-nested-hidehv-20260915T231300729Z,resident-nested-hidehv,0,1,72.9,13.5,5.0,24.2
transition-resident-nested-hidehv-20260915T231300729Z,resident-nested-hidehv,0,2,77.4,13.6,5.2,28.4
transition-resident-nested-hidehv-20260915T231300729Z,resident-nested-hidehv,0,3,73.2,13.7,5.1,20.0
transition-resident-nested-hidehv-20260915T231302047Z,resident-nested-hidehv,0,0,69.9,13.4,4.8,17.8
transition-resident-nested-hidehv-20260915T231302047Z,resident-nested-hidehv,0,1,70.1,13.5,4.9,23.1
transition-resident-nested-hidehv-20260915T231302047Z,resident-nested-hidehv,0,2,74.1,13.3,4.8,26.9
transition-resident-nested-hidehv-20260915T231302047Z,resident-nested-hidehv,0,3,68.7,11.5,4.2,18.6
transition-resident-nested-hidehv-20260915T231303354Z,resident-nested-hidehv,0,0,90.6,27.7,5.3,25.1
transition-resident-nested-hidehv-20260915T231303354Z,resident-nested-hidehv,0,1,118.3,27.6,5.4,54.0
transition-resident-nested-hidehv-20260915T231303354Z,resident-nested-hidehv,0,2,94.6,27.7,5.2,29.5
transition-resident-nested-hidehv-20260915T231303354Z,resident-nested-hidehv,0,3,90.9,27.8,5.3,25.9
transition-resident-nested-hidehv-20260915T231304681Z,resident-nested-hidehv,0,0,77.3,17.7,4.7,22.7
transition-resident-nested-hidehv-20260915T231304681Z,resident-nested-hidehv,0,1,76.3,17.7,4.9,21.2
transition-resident-nested-hidehv-20260915T231304681Z,resident-nested-hidehv,0,2,80.9,17.5,4.7,26.4
transition-resident-nested-hidehv-20260915T231304681Z,resident-nested-hidehv,0,3,78.3,18.1,4.6,24.0
transition-resident-nested-hidehv-20260915T231306000Z,resident-nested-hidehv,0,0,75.9,12.9,4.8,25.1
