runId,source,command,iteration,driverSha256,valid,commandBodyUs,resourcePreparationUs,eptBuildUs,rendezvousEnvelopeUs,ipiArrivalSkewUs,ipiDepartureSkewUs,entryReturnSkewUs,transitionSequence
transition-resident-nested-hidehv-20260915T231205851Z,transition-resident-nested-hidehv-20260915T231205851Z.json,resident-nested-hidehv,0,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2299.1,2150.8,,145.0,1.2,3.6,4.6,46
transition-resident-nested-hidehv-20260915T231300729Z,transition-resident-nested-hidehv-20260915T231300729Z.json,resident-nested-hidehv,1,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2799.7,2685.1,,111.5,0.2,4.4,4.4,50
transition-resident-nested-hidehv-20260915T231302047Z,transition-resident-nested-hidehv-20260915T231302047Z.json,resident-nested-hidehv,2,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2439.5,2282.4,,154.0,1.7,4.4,4.3,54
transition-resident-nested-hidehv-20260915T231303354Z,transition-resident-nested-hidehv-20260915T231303354Z.json,resident-nested-hidehv,3,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2931.4,2724.3,,203.4,0.7,28.3,28.3,58
transition-resident-nested-hidehv-20260915T231304681Z,transition-resident-nested-hidehv-20260915T231304681Z.json,resident-nested-hidehv,4,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2974.5,2841.4,,129.2,1.1,4.9,4.9,62
transition-resident-nested-hidehv-20260915T231306000Z,transition-resident-nested-hidehv-20260915T231306000Z.json,resident-nested-hidehv,5,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2280.5,2076.3,,201.3,0.2,4.0,4.0,66
transition-resident-nested-hidehv-20260915T231307318Z,transition-resident-nested-hidehv-20260915T231307318Z.json,resident-nested-hidehv,6,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2794.4,2622.4,,168.2,0.3,4.7,4.7,70
transition-resident-nested-hidehv-20260915T231308622Z,transition-resident-nested-hidehv-20260915T231308622Z.json,resident-nested-hidehv,7,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2914.6,2797.3,,113.9,0.2,4.3,4.3,74
transition-resident-nested-hidehv-20260915T231309932Z,transition-resident-nested-hidehv-20260915T231309932Z.json,resident-nested-hidehv,8,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,2801.3,2601.9,,195.3,0.4,5.4,5.6,78
transition-resident-nested-hidehv-20260915T231311240Z,transition-resident-nested-hidehv-20260915T231311240Z.json,resident-nested-hidehv,9,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,3231.9,3096.9,,130.6,0.4,4.6,4.6,82
transition-stop-20260915T231229184Z,transition-stop-20260915T231229184Z.json,stop,0,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,981.7,,,103.5,0.2,0.1,,48
transition-stop-20260915T231301389Z,transition-stop-20260915T231301389Z.json,stop,1,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,913.3,,,94.7,0.3,0.4,,52
transition-stop-20260915T231302705Z,transition-stop-20260915T231302705Z.json,stop,2,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,1264.9,,,44.7,0.5,15.0,,56
transition-stop-20260915T231304024Z,transition-stop-20260915T231304024Z.json,stop,3,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,1174.6,,,139.8,0.3,0.3,,60
transition-stop-20260915T231305340Z,transition-stop-20260915T231305340Z.json,stop,4,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,1316.3,,,410.2,30.0,23.3,,64
transition-stop-20260915T231306660Z,transition-stop-20260915T231306660Z.json,stop,5,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,883.1,,,97.6,0.3,0.3,,68
transition-stop-20260915T231307969Z,transition-stop-20260915T231307969Z.json,stop,6,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,827.5,,,59.9,0.3,0.5,,72
transition-stop-20260915T231309292Z,transition-stop-20260915T231309292Z.json,stop,7,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,1175.9,,,142.8,0.2,0.3,,76
transition-stop-20260915T231310591Z,transition-stop-20260915T231310591Z.json,stop,8,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,891.1,,,51.1,0.2,0.2,,80
transition-stop-20260915T231311905Z,transition-stop-20260915T231311905Z.json,stop,9,8850E28F7F43CF12F95116C862E0AA9FB4B609D60446EE1D46DDC1B900AB7A04,True,998.7,,,47.0,0.4,0.1,,84
