runId,configuration,workload,iteration,warmup,seconds,nsPerOperation,MiBPerSecond,affinityResult,continuity,conditionValid,binarySha256,scratchRemains,reportedVmExitDelta,source,valid
windows1-off-post-no-vmware-cpu-00-20260915T231231846Z,off-post-no-vmware,integer-xorshift,0,True,0.1240784,1.2408,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-00-20260915T231231846Z.json,True
windows1-off-post-no-vmware-cpu-01-20260915T231232455Z,off-post-no-vmware,integer-xorshift,1,False,0.1224923,1.2249,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-01-20260915T231232455Z.json,True
windows1-off-post-no-vmware-cpu-02-20260915T231237067Z,off-post-no-vmware,integer-xorshift,2,False,0.1241232,1.2412,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-02-20260915T231237067Z.json,True
windows1-off-post-no-vmware-cpu-03-20260915T231237426Z,off-post-no-vmware,integer-xorshift,3,False,0.1210278,1.2103,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-03-20260915T231237426Z.json,True
windows1-off-post-no-vmware-cpu-04-20260915T231242084Z,off-post-no-vmware,integer-xorshift,4,False,0.1380473,1.3805,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-04-20260915T231242084Z.json,True
windows1-off-post-no-vmware-cpu-05-20260915T231244693Z,off-post-no-vmware,integer-xorshift,5,False,0.121172,1.2117,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-05-20260915T231244693Z.json,True
windows1-off-post-no-vmware-cpu-06-20260915T231257885Z,off-post-no-vmware,integer-xorshift,6,False,0.1215729,1.2157,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-06-20260915T231257885Z.json,True
windows1-off-post-no-vmware-cpu-07-20260915T231258197Z,off-post-no-vmware,integer-xorshift,7,False,0.1219095,1.2191,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-07-20260915T231258197Z.json,True
windows1-off-post-no-vmware-cpuid-00-20260915T231231674Z,off-post-no-vmware,cpuid-leaf0,0,True,0.0325493,325.493,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-00-20260915T231231674Z.json,True
windows1-off-post-no-vmware-cpuid-01-20260915T231232377Z,off-post-no-vmware,cpuid-leaf0,1,False,0.0320615,320.615,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-01-20260915T231232377Z.json,True
windows1-off-post-no-vmware-cpuid-02-20260915T231236989Z,off-post-no-vmware,cpuid-leaf0,2,False,0.0327223,327.223,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-02-20260915T231236989Z.json,True
windows1-off-post-no-vmware-cpuid-03-20260915T231237254Z,off-post-no-vmware,cpuid-leaf0,3,False,0.0327187,327.187,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-03-20260915T231237254Z.json,True
windows1-off-post-no-vmware-cpuid-04-20260915T231240068Z,off-post-no-vmware,cpuid-leaf0,4,False,0.0326376,326.376,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-04-20260915T231240068Z.json,True
windows1-off-post-no-vmware-cpuid-05-20260915T231242615Z,off-post-no-vmware,cpuid-leaf0,5,False,0.0335072,335.072,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-05-20260915T231242615Z.json,True
windows1-off-post-no-vmware-cpuid-06-20260915T231244959Z,off-post-no-vmware,cpuid-leaf0,6,False,0.0325421,325.421,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-06-20260915T231244959Z.json,True
windows1-off-post-no-vmware-cpuid-07-20260915T231300276Z,off-post-no-vmware,cpuid-leaf0,7,False,0.0319333,319.333,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-07-20260915T231300276Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T231229845Z,off-post-no-vmware,disk-direct-write-64MiB,0,True,0.061718,964343.75,1036.9746,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T231229845Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T231229845Z,off-post-no-vmware,disk-direct-read-64MiB,0,True,0.0344458,538215.625,1857.9914,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T231229845Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T231232721Z,off-post-no-vmware,disk-direct-write-64MiB,1,False,0.0327104,511100.0,1956.5643,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T231232721Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T231232721Z,off-post-no-vmware,disk-direct-read-64MiB,1,False,0.034816,544000.0,1838.2353,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T231232721Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T231234972Z,off-post-no-vmware,disk-direct-write-64MiB,2,False,0.0366736,573025.0,1745.1246,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T231234972Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T231234972Z,off-post-no-vmware,disk-direct-read-64MiB,2,False,0.0333713,521426.5625,1917.8156,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T231234972Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T231237911Z,off-post-no-vmware,disk-direct-write-64MiB,3,False,0.0387172,604956.25,1653.0121,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T231237911Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T231237911Z,off-post-no-vmware,disk-direct-read-64MiB,3,False,0.0321001,501564.0625,1993.7633,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T231237911Z.json,True
