configuration,workload,n,median,mean,min,max,sampleSd
off-post-no-vmware,cpuid-leaf0,7,0.0326376,0.032588957142857145,0.0319333,0.0335072,0.0005148531371732564
off-post-no-vmware,disk-direct-read-64MiB,7,0.0330948,0.032785971428571425,0.0308576,0.034816,0.0012862202166481005
off-post-no-vmware,disk-direct-write-64MiB,7,0.0387172,0.03986817142857143,0.0277566,0.0552238,0.00897055176409907
off-post-no-vmware,integer-xorshift,7,0.1219095,0.124335,0.1210278,0.1380473,0.006136257835195653
off-post-no-vmware,memcpy-32MiB,7,0.1505486,0.1530092,0.1363773,0.1728365,0.012696967271491775
off-post-no-vmware,pointer-chase-64MiB,7,0.7336612,0.7387460142857143,0.7206669,0.7705611,0.016757996239151876
off-post-no-vmware,tcp-loopback-64MiB,7,0.0221848,0.022635314285714286,0.0206442,0.0253144,0.001636223215648944
off-post-no-vmware,tcp-loopback-rtt-1B,7,0.0235431,0.023602742857142856,0.023089,0.0241934,0.00038526659539052924
off-pre-no-vmware,cpuid-leaf0,7,0.0336984,0.033685014285714285,0.0329787,0.0348679,0.0006099344156780883
off-pre-no-vmware,disk-direct-read-64MiB,7,0.0329963,0.033435,0.0310507,0.039512,0.002880987408279783
off-pre-no-vmware,disk-direct-write-64MiB,7,0.0393649,0.04660771428571429,0.0374062,0.0657337,0.012491314753250032
off-pre-no-vmware,integer-xorshift,7,0.1281713,0.12800685714285714,0.1212362,0.1389839,0.006023261005982595
off-pre-no-vmware,memcpy-32MiB,7,0.1596736,0.16087122857142858,0.1491323,0.1768594,0.008752351657262234
off-pre-no-vmware,pointer-chase-64MiB,7,0.740268,0.7460098000000001,0.7248693,0.7892574,0.020346697644581035
off-pre-no-vmware,tcp-loopback-64MiB,7,0.0268018,0.0265291,0.0240665,0.0301598,0.0019510224276858873
off-pre-no-vmware,tcp-loopback-rtt-1B,7,0.0240331,0.024212471428571428,0.0235732,0.0249658,0.0005141013185300011
on-no-vmware,cpuid-leaf0,7,0.2998137,0.30010991428571426,0.2960652,0.3074155,0.0037913255120202083
on-no-vmware,disk-direct-read-64MiB,7,0.0341237,0.03429051428571429,0.0319397,0.038004,0.0021053353710898197
on-no-vmware,disk-direct-write-64MiB,7,0.0368748,0.0380691,0.0331296,0.0452864,0.00431538550498871
on-no-vmware,integer-xorshift,7,0.1220663,0.12228064285714287,0.1211952,0.1245006,0.0010661220956612535
on-no-vmware,memcpy-32MiB,7,0.1576927,0.15977492857142858,0.1442529,0.1770184,0.014131909625467502
on-no-vmware,pointer-chase-64MiB,7,0.734764,0.7444716,0.730375,0.7823568,0.019314617382783766
on-no-vmware,tcp-loopback-64MiB,7,0.0240461,0.0250515,0.022136,0.0310132,0.0032780926954556976
on-no-vmware,tcp-loopback-rtt-1B,7,0.0321196,0.03196191428571429,0.0309412,0.0330356,0.0007644340661094133
