runId,command,group,number,ipiCallbackUs,captureAndControlSelectionUs,vmcsProgrammingUs,entryContinuationUs
transition-resident-nested-hidehv-20260915T221127963Z,resident-nested-hidehv,0,0,67.5,13.9,4.7,26.1
transition-resident-nested-hidehv-20260915T221127963Z,resident-nested-hidehv,0,1,67.2,13.8,4.6,26.1
transition-resident-nested-hidehv-20260915T221127963Z,resident-nested-hidehv,0,2,70.4,13.9,4.7,30.2
transition-resident-nested-hidehv-20260915T221127963Z,resident-nested-hidehv,0,3,68.8,13.6,4.6,28.7
transition-resident-nested-hidehv-20260915T221218306Z,resident-nested-hidehv,0,0,71.5,14.1,5.2,27.5
transition-resident-nested-hidehv-20260915T221218306Z,resident-nested-hidehv,0,1,76.3,14.1,5.4,32.9
transition-resident-nested-hidehv-20260915T221218306Z,resident-nested-hidehv,0,2,71.5,14.0,5.1,27.3
transition-resident-nested-hidehv-20260915T221218306Z,resident-nested-hidehv,0,3,71.2,13.9,5.3,28.0
transition-resident-nested-hidehv-20260915T221219634Z,resident-nested-hidehv,0,0,65.1,13.7,4.6,22.9
transition-resident-nested-hidehv-20260915T221219634Z,resident-nested-hidehv,0,1,65.1,13.4,4.7,22.9
transition-resident-nested-hidehv-20260915T221219634Z,resident-nested-hidehv,0,2,69.5,13.7,4.8,27.0
transition-resident-nested-hidehv-20260915T221219634Z,resident-nested-hidehv,0,3,65.6,13.4,4.8,24.0
transition-resident-nested-hidehv-20260915T221220949Z,resident-nested-hidehv,0,0,61.9,12.8,4.9,21.6
transition-resident-nested-hidehv-20260915T221220949Z,resident-nested-hidehv,0,1,61.8,12.5,4.9,21.7
transition-resident-nested-hidehv-20260915T221220949Z,resident-nested-hidehv,0,2,66.0,12.7,4.6,25.9
transition-resident-nested-hidehv-20260915T221220949Z,resident-nested-hidehv,0,3,62.7,12.6,4.7,22.6
transition-resident-nested-hidehv-20260915T221222257Z,resident-nested-hidehv,0,0,58.0,12.7,4.5,19.1
transition-resident-nested-hidehv-20260915T221222257Z,resident-nested-hidehv,0,1,62.3,12.7,4.7,23.5
transition-resident-nested-hidehv-20260915T221222257Z,resident-nested-hidehv,0,2,57.9,12.6,4.7,19.2
transition-resident-nested-hidehv-20260915T221222257Z,resident-nested-hidehv,0,3,59.2,12.6,4.7,21.1
transition-resident-nested-hidehv-20260915T221223603Z,resident-nested-hidehv,0,0,95.2,17.6,5.7,37.1
transition-resident-nested-hidehv-20260915T221223603Z,resident-nested-hidehv,0,1,89.8,17.6,5.7,32.1
transition-resident-nested-hidehv-20260915T221223603Z,resident-nested-hidehv,0,2,90.4,17.5,5.9,32.3
transition-resident-nested-hidehv-20260915T221223603Z,resident-nested-hidehv,0,3,103.7,23.7,11.5,26.3
