runId,source,command,iteration,driverSha256,valid,commandBodyUs,resourcePreparationUs,eptBuildUs,rendezvousEnvelopeUs,ipiArrivalSkewUs,ipiDepartureSkewUs,entryReturnSkewUs,transitionSequence
transition-resident-nested-hidehv-20260915T221127963Z,transition-resident-nested-hidehv-20260915T221127963Z.json,resident-nested-hidehv,0,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1657.2,1415.8,,237.7,0.3,3.2,4.2,4
transition-resident-nested-hidehv-20260915T221218306Z,transition-resident-nested-hidehv-20260915T221218306Z.json,resident-nested-hidehv,1,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1988.0,1876.1,,108.0,0.6,5.1,5.0,8
transition-resident-nested-hidehv-20260915T221219634Z,transition-resident-nested-hidehv-20260915T221219634Z.json,resident-nested-hidehv,2,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1492.8,1355.0,,135.2,1.0,4.5,4.5,12
transition-resident-nested-hidehv-20260915T221220949Z,transition-resident-nested-hidehv-20260915T221220949Z.json,resident-nested-hidehv,3,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1327.7,1166.6,,157.9,0.3,4.4,4.3,16
transition-resident-nested-hidehv-20260915T221222257Z,transition-resident-nested-hidehv-20260915T221222257Z.json,resident-nested-hidehv,4,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1492.6,1303.2,,186.8,0.2,4.2,4.4,20
transition-resident-nested-hidehv-20260915T221223603Z,transition-resident-nested-hidehv-20260915T221223603Z.json,resident-nested-hidehv,5,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1952.9,1767.5,,178.9,0.5,14.0,13.8,24
transition-resident-nested-hidehv-20260915T221224951Z,transition-resident-nested-hidehv-20260915T221224951Z.json,resident-nested-hidehv,6,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,2759.8,2607.4,,147.1,0.5,4.5,4.3,28
transition-resident-nested-hidehv-20260915T221226318Z,transition-resident-nested-hidehv-20260915T221226318Z.json,resident-nested-hidehv,7,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1822.8,1509.7,,309.5,1.0,175.3,176.3,32
transition-resident-nested-hidehv-20260915T221227666Z,transition-resident-nested-hidehv-20260915T221227666Z.json,resident-nested-hidehv,8,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1790.6,1626.8,,138.7,0.3,30.4,30.4,36
transition-resident-nested-hidehv-20260915T221229008Z,transition-resident-nested-hidehv-20260915T221229008Z.json,resident-nested-hidehv,9,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1426.1,1294.5,,128.3,1.8,4.8,4.7,40
transition-stop-20260915T221157472Z,transition-stop-20260915T221157472Z.json,stop,0,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1080.7,,,97.2,0.2,0.2,,6
transition-stop-20260915T221218957Z,transition-stop-20260915T221218957Z.json,stop,1,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,705.7,,,54.9,0.3,0.2,,10
transition-stop-20260915T221220302Z,transition-stop-20260915T221220302Z.json,stop,2,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,685.1,,,112.5,0.1,0.2,,14
transition-stop-20260915T221221609Z,transition-stop-20260915T221221609Z.json,stop,3,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,796.2,,,98.4,0.3,1.5,,18
transition-stop-20260915T221222908Z,transition-stop-20260915T221222908Z.json,stop,4,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,699.9,,,51.8,0.4,0.2,,22
transition-stop-20260915T221224288Z,transition-stop-20260915T221224288Z.json,stop,5,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,694.6,,,52.6,0.4,0.3,,26
transition-stop-20260915T221225644Z,transition-stop-20260915T221225644Z.json,stop,6,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,933.4,,,65.3,0.1,0.2,,30
transition-stop-20260915T221226989Z,transition-stop-20260915T221226989Z.json,stop,7,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,752.1,,,64.0,0.2,0.3,,34
transition-stop-20260915T221228343Z,transition-stop-20260915T221228343Z.json,stop,8,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,689.6,,,51.1,0.2,0.1,,38
transition-stop-20260915T221229691Z,transition-stop-20260915T221229691Z.json,stop,9,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,813.9,,,119.5,0.2,0.1,,42
