runId,command,iteration,condition,result,continuity,residentBefore,residentAfter,commandWallMs,internalTransitionPauseMs,censoredAtTimeout,source
transition-resident-nested-hidehv-20260915T221127963Z,resident-nested-hidehv,0,windows1-no-vmware-no-busy-observers,pass,True,0,4,16.6108,,False,transition-resident-nested-hidehv-20260915T221127963Z.json
transition-resident-nested-hidehv-20260915T221218306Z,resident-nested-hidehv,1,windows1-no-vmware-no-busy-observers,pass,True,0,4,14.0832,,False,transition-resident-nested-hidehv-20260915T221218306Z.json
transition-resident-nested-hidehv-20260915T221219634Z,resident-nested-hidehv,2,windows1-no-vmware-no-busy-observers,pass,True,0,4,14.3526,,False,transition-resident-nested-hidehv-20260915T221219634Z.json
transition-resident-nested-hidehv-20260915T221220949Z,resident-nested-hidehv,3,windows1-no-vmware-no-busy-observers,pass,True,0,4,13.4008,,False,transition-resident-nested-hidehv-20260915T221220949Z.json
transition-resident-nested-hidehv-20260915T221222257Z,resident-nested-hidehv,4,windows1-no-vmware-no-busy-observers,pass,True,0,4,13.6501,,False,transition-resident-nested-hidehv-20260915T221222257Z.json
transition-resident-nested-hidehv-20260915T221223603Z,resident-nested-hidehv,5,windows1-no-vmware-no-busy-observers,pass,True,0,4,17.6172,,False,transition-resident-nested-hidehv-20260915T221223603Z.json
transition-resident-nested-hidehv-20260915T221224951Z,resident-nested-hidehv,6,windows1-no-vmware-no-busy-observers,pass,True,0,4,16.9569,,False,transition-resident-nested-hidehv-20260915T221224951Z.json
transition-resident-nested-hidehv-20260915T221226318Z,resident-nested-hidehv,7,windows1-no-vmware-no-busy-observers,pass,True,0,4,16.7256,,False,transition-resident-nested-hidehv-20260915T221226318Z.json
transition-resident-nested-hidehv-20260915T221227666Z,resident-nested-hidehv,8,windows1-no-vmware-no-busy-observers,pass,True,0,4,15.7981,,False,transition-resident-nested-hidehv-20260915T221227666Z.json
transition-resident-nested-hidehv-20260915T221229008Z,resident-nested-hidehv,9,windows1-no-vmware-no-busy-observers,pass,True,0,4,14.5213,,False,transition-resident-nested-hidehv-20260915T221229008Z.json
transition-stop-20260915T221157472Z,stop,0,windows1-no-vmware-no-busy-observers,pass,True,4,0,15.4403,,False,transition-stop-20260915T221157472Z.json
transition-stop-20260915T221218957Z,stop,1,windows1-no-vmware-no-busy-observers,pass,True,4,0,14.4009,,False,transition-stop-20260915T221218957Z.json
transition-stop-20260915T221220302Z,stop,2,windows1-no-vmware-no-busy-observers,pass,True,4,0,13.4092,,False,transition-stop-20260915T221220302Z.json
transition-stop-20260915T221221609Z,stop,3,windows1-no-vmware-no-busy-observers,pass,True,4,0,14.3047,,False,transition-stop-20260915T221221609Z.json
transition-stop-20260915T221222908Z,stop,4,windows1-no-vmware-no-busy-observers,pass,True,4,0,14.7918,,False,transition-stop-20260915T221222908Z.json
transition-stop-20260915T221224288Z,stop,5,windows1-no-vmware-no-busy-observers,pass,True,4,0,14.6396,,False,transition-stop-20260915T221224288Z.json
transition-stop-20260915T221225644Z,stop,6,windows1-no-vmware-no-busy-observers,pass,True,4,0,15.9524,,False,transition-stop-20260915T221225644Z.json
transition-stop-20260915T221226989Z,stop,7,windows1-no-vmware-no-busy-observers,pass,True,4,0,15.6821,,False,transition-stop-20260915T221226989Z.json
transition-stop-20260915T221228343Z,stop,8,windows1-no-vmware-no-busy-observers,pass,True,4,0,14.239,,False,transition-stop-20260915T221228343Z.json
transition-stop-20260915T221229691Z,stop,9,windows1-no-vmware-no-busy-observers,pass,True,4,0,15.2487,,False,transition-stop-20260915T221229691Z.json
