runId,configuration,workload,iteration,warmup,seconds,nsPerOperation,MiBPerSecond,affinityResult,continuity,conditionValid,binarySha256,scratchRemains,reportedVmExitDelta,source,valid
windows1-off-post-no-vmware-cpu-00-20260915T221200123Z,off-post-no-vmware,integer-xorshift,0,True,0.1224592,1.2246,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-00-20260915T221200123Z.json,True
windows1-off-post-no-vmware-cpu-01-20260915T221200717Z,off-post-no-vmware,integer-xorshift,1,False,0.1224965,1.225,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-01-20260915T221200717Z.json,True
windows1-off-post-no-vmware-cpu-02-20260915T221205376Z,off-post-no-vmware,integer-xorshift,2,False,0.1203467,1.2035,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-02-20260915T221205376Z.json,True
windows1-off-post-no-vmware-cpu-03-20260915T221205751Z,off-post-no-vmware,integer-xorshift,3,False,0.1201098,1.2011,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-03-20260915T221205751Z.json,True
windows1-off-post-no-vmware-cpu-04-20260915T221210425Z,off-post-no-vmware,integer-xorshift,4,False,0.1214568,1.2146,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-04-20260915T221210425Z.json,True
windows1-off-post-no-vmware-cpu-05-20260915T221212912Z,off-post-no-vmware,integer-xorshift,5,False,0.1223655,1.2237,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-05-20260915T221212912Z.json,True
windows1-off-post-no-vmware-cpu-06-20260915T221215288Z,off-post-no-vmware,integer-xorshift,6,False,0.1304425,1.3044,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-06-20260915T221215288Z.json,True
windows1-off-post-no-vmware-cpu-07-20260915T221215664Z,off-post-no-vmware,integer-xorshift,7,False,0.1217124,1.2171,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-07-20260915T221215664Z.json,True
windows1-off-post-no-vmware-cpuid-00-20260915T221159920Z,off-post-no-vmware,cpuid-leaf0,0,True,0.0336884,336.884,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-00-20260915T221159920Z.json,True
windows1-off-post-no-vmware-cpuid-01-20260915T221200608Z,off-post-no-vmware,cpuid-leaf0,1,False,0.032622,326.22,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-01-20260915T221200608Z.json,True
