configuration,workload,n,median,mean,min,max,sampleSd
off-post-no-vmware,cpuid-leaf0,7,0.032622,0.03308235714285714,0.031872,0.0353609,0.0011643461496438584
off-post-no-vmware,disk-direct-read-64MiB,7,0.0328684,0.03350898571428571,0.0314317,0.0379935,0.002227234374307122
off-post-no-vmware,disk-direct-write-64MiB,7,0.0478104,0.04641321428571429,0.0318494,0.0562182,0.009114798646419016
off-post-no-vmware,integer-xorshift,7,0.1217124,0.12270431428571428,0.1201098,0.1304425,0.0035324103052677604
off-post-no-vmware,memcpy-32MiB,7,0.1468575,0.15713797142857144,0.1385636,0.20655,0.024863916639963377
off-post-no-vmware,pointer-chase-64MiB,7,0.73249,0.7358571857142857,0.7112767,0.765676,0.019891426298569673
off-post-no-vmware,tcp-loopback-64MiB,7,0.0228791,0.023426314285714286,0.0225504,0.0256049,0.0010961407382700625
off-post-no-vmware,tcp-loopback-rtt-1B,7,0.0235151,0.023962328571428573,0.0227185,0.0268445,0.0013310221507226263
off-pre-no-vmware,cpuid-leaf0,7,0.0331808,0.033278971428571426,0.0324961,0.0348849,0.0008306113666336108
off-pre-no-vmware,disk-direct-read-64MiB,7,0.0313648,0.03204365714285714,0.0311046,0.0336431,0.0011431259202396777
off-pre-no-vmware,disk-direct-write-64MiB,7,0.0437578,0.04567004285714286,0.0318241,0.070835,0.013003717432188014
off-pre-no-vmware,integer-xorshift,7,0.1221812,0.12344854285714285,0.1215923,0.1274735,0.00225593899212511
off-pre-no-vmware,memcpy-32MiB,7,0.146801,0.16164032857142857,0.1373092,0.1952225,0.025066026562508486
off-pre-no-vmware,pointer-chase-64MiB,7,0.7392887,0.7488362,0.7218852,0.8023651,0.03144763447680393
off-pre-no-vmware,tcp-loopback-64MiB,7,0.0258161,0.02658627142857143,0.0234359,0.0301139,0.0025261339168211735
off-pre-no-vmware,tcp-loopback-rtt-1B,7,0.0240662,0.024359214285714286,0.0232848,0.0255088,0.0009988328529314792
on-no-vmware,cpuid-leaf0,7,0.3495675,0.35796214285714284,0.3395268,0.4038098,0.02361259319430044
on-no-vmware,disk-direct-read-64MiB,7,0.0334391,0.03422647142857143,0.0317174,0.0380174,0.002397893398182584
on-no-vmware,disk-direct-write-64MiB,7,0.0465539,0.051740014285714286,0.0343048,0.0885064,0.020020724323179764
on-no-vmware,integer-xorshift,7,0.1246817,0.12899144285714287,0.1220156,0.1428846,0.0087715256933742
on-no-vmware,memcpy-32MiB,7,0.1555477,0.16425014285714284,0.1332516,0.2214797,0.03169250407961148
on-no-vmware,pointer-chase-64MiB,7,0.7439059,0.7625394857142858,0.7106398,0.8756156,0.056850179806002044
on-no-vmware,tcp-loopback-64MiB,7,0.0316919,0.035829428571428575,0.0291605,0.0483442,0.0081805969901783
on-no-vmware,tcp-loopback-rtt-1B,7,0.0315795,0.03429907142857143,0.0309869,0.0422024,0.004444508999021259
