runId,source,case,condition,result,loadCpu0BusyPercent,loadCpu1BusyPercent,effectPass,originalBacking,replacementBacking,fill,mapBodyUs,restoreBodyUs,commitDrainUs,retireDrainUs,ruleAllocations,ruleFrees,replacementAllocations,replacementFrees,inveptAttempts,inveptSucceeded,inveptFailed
nested-page-guest-cpu-load-remap-restore-20260915T233327758Z,nested-page-guest-cpu-load-remap-restore-20260915T233327758Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C1,220.9,124.2,189.4,104.3,1,1,1,1,13349,13349,0
nested-page-guest-cpu-load-remap-restore-20260915T233336119Z,nested-page-guest-cpu-load-remap-restore-20260915T233336119Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C2,162.9,114.2,128.8,90.6,1,1,1,1,11720,11720,0
nested-page-guest-cpu-load-remap-restore-20260915T233344412Z,nested-page-guest-cpu-load-remap-restore-20260915T233344412Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C3,182.6,501.7,139.1,333.4,1,1,1,1,10199,10199,0
nested-page-guest-cpu-load-remap-restore-20260915T233352678Z,nested-page-guest-cpu-load-remap-restore-20260915T233352678Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C4,341.6,302.0,226.6,185.9,1,1,1,1,11395,11395,0
nested-page-guest-cpu-load-remap-restore-20260915T233400952Z,nested-page-guest-cpu-load-remap-restore-20260915T233400952Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C5,117.7,195.6,90.2,162.5,1,1,1,1,11618,11618,0
nested-page-guest-cpu-load-remap-restore-20260915T233409217Z,nested-page-guest-cpu-load-remap-restore-20260915T233409217Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C6,103.5,187.8,79.0,151.1,1,1,1,1,10973,10973,0
nested-page-guest-cpu-load-remap-restore-20260915T233417500Z,nested-page-guest-cpu-load-remap-restore-20260915T233417500Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C7,130.7,146.2,103.4,122.8,1,1,1,1,12249,12249,0
nested-page-guest-cpu-load-remap-restore-20260915T233425772Z,nested-page-guest-cpu-load-remap-restore-20260915T233425772Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C8,197.6,207.0,164.7,168.2,1,1,1,1,11503,11503,0
nested-page-guest-cpu-load-remap-restore-20260915T233434056Z,nested-page-guest-cpu-load-remap-restore-20260915T233434056Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,C9,118.0,114.6,87.6,94.2,1,1,1,1,10050,10050,0
nested-page-guest-cpu-load-remap-restore-20260915T233442316Z,nested-page-guest-cpu-load-remap-restore-20260915T233442316Z.json,remap-restore,guest-cpu-load,pass,99.95938261575954,98.771345272803,True,0x000000001766B000,0x0000000204FD4000,CA,120.7,113.6,95.1,92.6,1,1,1,1,11393,11393,0
nested-page-idle-gpa-above-52-bits-20260915T233014512Z,nested-page-idle-gpa-above-52-bits-20260915T233014512Z.json,gpa-above-52-bits,idle,clean_reject,,,,,,,,,,,0,0,0,0,3385,3385,0
nested-page-idle-remap-restore-20260915T232851522Z,nested-page-idle-remap-restore-20260915T232851522Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C1,154.0,142.0,112.2,118.9,1,1,1,1,6431,6431,0
nested-page-idle-remap-restore-20260915T232859923Z,nested-page-idle-remap-restore-20260915T232859923Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C2,87.9,97.1,63.8,72.8,1,1,1,1,6044,6044,0
nested-page-idle-remap-restore-20260915T232908164Z,nested-page-idle-remap-restore-20260915T232908164Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C3,163.2,116.7,134.5,94.2,1,1,1,1,6323,6323,0
nested-page-idle-remap-restore-20260915T232916412Z,nested-page-idle-remap-restore-20260915T232916412Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C4,84.0,87.9,53.7,68.3,1,1,1,1,5228,5228,0
nested-page-idle-remap-restore-20260915T232924638Z,nested-page-idle-remap-restore-20260915T232924638Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C5,105.9,152.9,72.3,130.0,1,1,1,1,5168,5168,0
nested-page-idle-remap-restore-20260915T232932886Z,nested-page-idle-remap-restore-20260915T232932886Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C6,93.2,96.2,64.1,74.1,1,1,1,1,5911,5911,0
nested-page-idle-remap-restore-20260915T232941145Z,nested-page-idle-remap-restore-20260915T232941145Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C7,135.6,83.1,112.4,61.4,1,1,1,1,5920,5920,0
nested-page-idle-remap-restore-20260915T232949377Z,nested-page-idle-remap-restore-20260915T232949377Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C8,83.3,145.2,55.3,123.0,1,1,1,1,6328,6328,0
nested-page-idle-remap-restore-20260915T232957632Z,nested-page-idle-remap-restore-20260915T232957632Z.json,remap-restore,idle,pass,,,True,0x000000001766B000,0x0000000204FD4000,C9,110.8,95.2,82.3,66.9,1,1,1,1,5648,5648,0
