runId,command,group,number,ipiCallbackUs,captureAndControlSelectionUs,vmcsProgrammingUs,entryContinuationUs
transition-resident-nested-hidehv-20260915T201456946Z,resident-nested-hidehv,0,0,111.3,13.0,4.3,63.8
transition-resident-nested-hidehv-20260915T201456946Z,resident-nested-hidehv,0,1,106.8,12.7,4.3,66.4
transition-resident-nested-hidehv-20260915T201606278Z,resident-nested-hidehv,0,0,65.2,11.5,4.6,25.5
transition-resident-nested-hidehv-20260915T201606278Z,resident-nested-hidehv,0,1,62.0,13.3,4.3,22.5
transition-resident-nested-hidehv-20260915T201607600Z,resident-nested-hidehv,0,0,66.1,12.8,4.4,25.9
transition-resident-nested-hidehv-20260915T201607600Z,resident-nested-hidehv,0,1,61.1,12.8,4.5,20.5
transition-resident-nested-hidehv-20260915T201608934Z,resident-nested-hidehv,0,0,61.5,12.3,4.5,21.5
transition-resident-nested-hidehv-20260915T201608934Z,resident-nested-hidehv,0,1,66.0,12.3,4.5,26.0
transition-resident-nested-hidehv-20260915T201610281Z,resident-nested-hidehv,0,0,68.0,12.9,4.5,24.3
transition-resident-nested-hidehv-20260915T201610281Z,resident-nested-hidehv,0,1,72.3,12.6,4.6,28.9
transition-resident-nested-hidehv-20260915T201611624Z,resident-nested-hidehv,0,0,63.5,13.0,4.5,21.8
transition-resident-nested-hidehv-20260915T201611624Z,resident-nested-hidehv,0,1,67.9,12.9,4.4,26.3
transition-resident-nested-hidehv-20260915T201612965Z,resident-nested-hidehv,0,0,67.0,12.5,4.5,22.9
transition-resident-nested-hidehv-20260915T201612965Z,resident-nested-hidehv,0,1,62.7,12.6,4.5,20.8
transition-resident-nested-hidehv-20260915T201614341Z,resident-nested-hidehv,0,0,96.6,17.4,6.1,32.6
transition-resident-nested-hidehv-20260915T201614341Z,resident-nested-hidehv,0,1,100.8,17.1,6.3,35.9
transition-resident-nested-hidehv-20260915T201615713Z,resident-nested-hidehv,0,0,87.5,15.1,5.2,27.9
transition-resident-nested-hidehv-20260915T201615713Z,resident-nested-hidehv,0,1,93.0,15.1,5.1,33.4
transition-resident-nested-hidehv-20260915T201617097Z,resident-nested-hidehv,0,0,65.3,12.5,4.6,11.4
transition-resident-nested-hidehv-20260915T201617097Z,resident-nested-hidehv,0,1,67.5,12.3,4.6,28.1
transition-stop-20260915T201543060Z,stop,0,0,38.4,,,
transition-stop-20260915T201543060Z,stop,0,1,25.6,,,
transition-stop-20260915T201606933Z,stop,0,0,19.7,,,
transition-stop-20260915T201606933Z,stop,0,1,19.9,,,
transition-stop-20260915T201608256Z,stop,0,0,19.3,,,
transition-stop-20260915T201608256Z,stop,0,1,19.3,,,
transition-stop-20260915T201609591Z,stop,0,0,18.8,,,
transition-stop-20260915T201609591Z,stop,0,1,18.9,,,
transition-stop-20260915T201610949Z,stop,0,0,20.1,,,
transition-stop-20260915T201610949Z,stop,0,1,19.7,,,
transition-stop-20260915T201612284Z,stop,0,0,19.7,,,
transition-stop-20260915T201612284Z,stop,0,1,19.4,,,
transition-stop-20260915T201613662Z,stop,0,0,21.4,,,
transition-stop-20260915T201613662Z,stop,0,1,19.8,,,
transition-stop-20260915T201615021Z,stop,0,0,22.2,,,
transition-stop-20260915T201615021Z,stop,0,1,22.2,,,
transition-stop-20260915T201616421Z,stop,0,0,23.5,,,
transition-stop-20260915T201616421Z,stop,0,1,23.0,,,
transition-stop-20260915T201617760Z,stop,0,0,19.4,,,
transition-stop-20260915T201617760Z,stop,0,1,19.7,,,
