runId,source,command,iteration,driverSha256,valid,commandBodyUs,resourcePreparationUs,eptBuildUs,rendezvousEnvelopeUs,ipiArrivalSkewUs,ipiDepartureSkewUs,entryReturnSkewUs,transitionSequence
transition-resident-nested-hidehv-20260915T201456946Z,transition-resident-nested-hidehv-20260915T201456946Z.json,resident-nested-hidehv,0,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,2038.1,1880.3,,149.5,0.1,4.4,2.2,4
transition-resident-nested-hidehv-20260915T201606278Z,transition-resident-nested-hidehv-20260915T201606278Z.json,resident-nested-hidehv,1,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1293.1,1176.0,,113.9,1.3,4.5,4.4,8
transition-resident-nested-hidehv-20260915T201607600Z,transition-resident-nested-hidehv-20260915T201607600Z.json,resident-nested-hidehv,2,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1389.8,1287.8,,99.0,0.2,4.8,4.9,12
transition-resident-nested-hidehv-20260915T201608934Z,transition-resident-nested-hidehv-20260915T201608934Z.json,resident-nested-hidehv,3,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1177.7,1090.9,,84.1,0.3,4.8,4.7,16
transition-resident-nested-hidehv-20260915T201610281Z,transition-resident-nested-hidehv-20260915T201610281Z.json,resident-nested-hidehv,4,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1189.1,1076.8,,109.3,0.2,4.5,4.3,20
transition-resident-nested-hidehv-20260915T201611624Z,transition-resident-nested-hidehv-20260915T201611624Z.json,resident-nested-hidehv,5,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1192.5,1103.2,,86.3,0.2,4.6,4.4,24
transition-resident-nested-hidehv-20260915T201612965Z,transition-resident-nested-hidehv-20260915T201612965Z.json,resident-nested-hidehv,6,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1306.2,1214.2,,88.9,0.2,4.5,4.2,28
transition-resident-nested-hidehv-20260915T201614341Z,transition-resident-nested-hidehv-20260915T201614341Z.json,resident-nested-hidehv,7,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1760.6,1605.3,,149.5,0.1,4.1,4.0,32
transition-resident-nested-hidehv-20260915T201615713Z,transition-resident-nested-hidehv-20260915T201615713Z.json,resident-nested-hidehv,8,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1365.8,1202.2,,159.4,0.1,5.4,5.2,36
transition-resident-nested-hidehv-20260915T201617097Z,transition-resident-nested-hidehv-20260915T201617097Z.json,resident-nested-hidehv,9,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1142.2,1053.9,,85.6,0.3,2.5,2.2,40
transition-stop-20260915T201543060Z,transition-stop-20260915T201543060Z.json,stop,0,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1004.8,,,81.4,0.3,13.1,,6
transition-stop-20260915T201606933Z,transition-stop-20260915T201606933Z.json,stop,1,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,723.8,,,33.5,0.1,0.1,,10
transition-stop-20260915T201608256Z,transition-stop-20260915T201608256Z.json,stop,2,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,605.4,,,43.6,0.1,0.1,,14
transition-stop-20260915T201609591Z,transition-stop-20260915T201609591Z.json,stop,3,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,629.8,,,34.4,0.0,0.1,,18
transition-stop-20260915T201610949Z,transition-stop-20260915T201610949Z.json,stop,4,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,599.0,,,40.9,0.1,0.3,,22
transition-stop-20260915T201612284Z,transition-stop-20260915T201612284Z.json,stop,5,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,672.3,,,47.3,0.2,0.1,,26
transition-stop-20260915T201613662Z,transition-stop-20260915T201613662Z.json,stop,6,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,735.8,,,78.4,0.2,1.4,,30
transition-stop-20260915T201615021Z,transition-stop-20260915T201615021Z.json,stop,7,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,770.3,,,48.6,0.1,0.1,,34
transition-stop-20260915T201616421Z,transition-stop-20260915T201616421Z.json,stop,8,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,1008.8,,,59.2,0.6,0.1,,38
transition-stop-20260915T201617760Z,transition-stop-20260915T201617760Z.json,stop,9,35380F712EE4A1C0E2923696D66B401B636083D3FCFB865C7C4327D158A32487,True,678.9,,,34.1,0.2,0.1,,42
