runId,command,iteration,condition,result,continuity,residentBefore,residentAfter,commandWallMs,internalTransitionPauseMs,censoredAtTimeout,source
transition-resident-nested-hidehv-20260915T201456946Z,resident-nested-hidehv,0,windows1-no-vmware-no-busy-observers,pass,True,0,2,21.4331,,False,transition-resident-nested-hidehv-20260915T201456946Z.json
transition-resident-nested-hidehv-20260915T201606278Z,resident-nested-hidehv,1,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.8872,,False,transition-resident-nested-hidehv-20260915T201606278Z.json
transition-resident-nested-hidehv-20260915T201607600Z,resident-nested-hidehv,2,windows1-no-vmware-no-busy-observers,pass,True,0,2,15.2052,,False,transition-resident-nested-hidehv-20260915T201607600Z.json
transition-resident-nested-hidehv-20260915T201608934Z,resident-nested-hidehv,3,windows1-no-vmware-no-busy-observers,pass,True,0,2,15.3014,,False,transition-resident-nested-hidehv-20260915T201608934Z.json
transition-resident-nested-hidehv-20260915T201610281Z,resident-nested-hidehv,4,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.1909,,False,transition-resident-nested-hidehv-20260915T201610281Z.json
transition-resident-nested-hidehv-20260915T201611624Z,resident-nested-hidehv,5,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.7806,,False,transition-resident-nested-hidehv-20260915T201611624Z.json
transition-resident-nested-hidehv-20260915T201612965Z,resident-nested-hidehv,6,windows1-no-vmware-no-busy-observers,pass,True,0,2,15.9497,,False,transition-resident-nested-hidehv-20260915T201612965Z.json
transition-resident-nested-hidehv-20260915T201614341Z,resident-nested-hidehv,7,windows1-no-vmware-no-busy-observers,pass,True,0,2,18.0419,,False,transition-resident-nested-hidehv-20260915T201614341Z.json
transition-resident-nested-hidehv-20260915T201615713Z,resident-nested-hidehv,8,windows1-no-vmware-no-busy-observers,pass,True,0,2,17.8569,,False,transition-resident-nested-hidehv-20260915T201615713Z.json
transition-resident-nested-hidehv-20260915T201617097Z,resident-nested-hidehv,9,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.4279,,False,transition-resident-nested-hidehv-20260915T201617097Z.json
transition-stop-20260915T201543060Z,stop,0,windows1-no-vmware-no-busy-observers,pass,True,2,0,21.588,,False,transition-stop-20260915T201543060Z.json
transition-stop-20260915T201606933Z,stop,1,windows1-no-vmware-no-busy-observers,pass,True,2,0,15.3321,,False,transition-stop-20260915T201606933Z.json
transition-stop-20260915T201608256Z,stop,2,windows1-no-vmware-no-busy-observers,pass,True,2,0,15.1008,,False,transition-stop-20260915T201608256Z.json
transition-stop-20260915T201609591Z,stop,3,windows1-no-vmware-no-busy-observers,pass,True,2,0,13.9904,,False,transition-stop-20260915T201609591Z.json
transition-stop-20260915T201610949Z,stop,4,windows1-no-vmware-no-busy-observers,pass,True,2,0,15.4855,,False,transition-stop-20260915T201610949Z.json
transition-stop-20260915T201612284Z,stop,5,windows1-no-vmware-no-busy-observers,pass,True,2,0,14.9885,,False,transition-stop-20260915T201612284Z.json
transition-stop-20260915T201613662Z,stop,6,windows1-no-vmware-no-busy-observers,pass,True,2,0,14.5685,,False,transition-stop-20260915T201613662Z.json
transition-stop-20260915T201615021Z,stop,7,windows1-no-vmware-no-busy-observers,pass,True,2,0,21.0701,,False,transition-stop-20260915T201615021Z.json
transition-stop-20260915T201616421Z,stop,8,windows1-no-vmware-no-busy-observers,pass,True,2,0,17.4153,,False,transition-stop-20260915T201616421Z.json
transition-stop-20260915T201617760Z,stop,9,windows1-no-vmware-no-busy-observers,pass,True,2,0,14.7912,,False,transition-stop-20260915T201617760Z.json
