configuration,workload,n,median,mean,min,max,sampleSd
off-post-no-vmware,cpuid-leaf0,7,0.0331795,0.033410142857142854,0.0322213,0.0359253,0.0011829218893022804
off-post-no-vmware,disk-direct-read-64MiB,7,0.0322629,0.0328911,0.0312986,0.0370752,0.002012723998300149
off-post-no-vmware,disk-direct-write-64MiB,7,0.0412381,0.23161271428571428,0.034583,1.3690509,0.5016136855519077
off-post-no-vmware,integer-xorshift,7,0.1227477,0.12291478571428571,0.1209892,0.1244863,0.0010978479515679285
off-post-no-vmware,memcpy-32MiB,7,0.1526472,0.1571136142857143,0.1426921,0.1838159,0.014213430007382524
off-post-no-vmware,pointer-chase-64MiB,7,0.7638266,0.7614607714285714,0.7177934,0.8071189,0.03566696066407088
off-post-no-vmware,tcp-loopback-64MiB,7,0.0278975,0.02764494285714286,0.025563,0.0304722,0.0017484852338115824
off-post-no-vmware,tcp-loopback-rtt-1B,7,0.0249127,0.024635457142857142,0.0230658,0.0256828,0.0009902413390299406
off-pre-no-vmware,cpuid-leaf0,7,0.0333353,0.03352904285714286,0.0326349,0.0353536,0.000910150055132197
off-pre-no-vmware,disk-direct-read-64MiB,7,0.0319017,0.034027857142857144,0.0310132,0.0444889,0.004795124617726196
off-pre-no-vmware,disk-direct-write-64MiB,7,0.0440011,0.048877171428571425,0.0324138,0.0644786,0.014265662803706232
off-pre-no-vmware,integer-xorshift,7,0.123593,0.12369154285714286,0.1207732,0.1268818,0.002007188737892827
off-pre-no-vmware,memcpy-32MiB,7,0.1682239,0.1632895,0.142635,0.1794561,0.013717108204598618
off-pre-no-vmware,pointer-chase-64MiB,7,0.7502724,0.7582828571428571,0.7297746,0.7958971,0.022709835547904282
off-pre-no-vmware,tcp-loopback-64MiB,7,0.0279895,0.02917245714285714,0.0260543,0.035355,0.0031727475300634637
off-pre-no-vmware,tcp-loopback-rtt-1B,7,0.0241899,0.0243954,0.0232592,0.0260577,0.0010684826687098548
on-no-vmware,cpuid-leaf0,7,0.3464577,0.3510974,0.3447485,0.3720753,0.009935275406516586
on-no-vmware,disk-direct-read-64MiB,7,0.0334748,0.04391935714285714,0.0309307,0.1044081,0.026856741483462284
on-no-vmware,disk-direct-write-64MiB,7,0.0516865,2.3030105714285716,0.0319699,7.4124,3.4693873742049623
on-no-vmware,integer-xorshift,7,0.1257532,0.12643822857142858,0.123577,0.1352276,0.004040980318649707
on-no-vmware,memcpy-32MiB,7,0.1729513,0.1679663857142857,0.1460445,0.1894735,0.017275363668572317
on-no-vmware,pointer-chase-64MiB,7,0.768269,0.7857470571428571,0.7411755,0.8814816,0.048610708322784774
on-no-vmware,tcp-loopback-64MiB,7,0.0285806,0.028721314285714287,0.0264542,0.0311883,0.0015997343804817212
on-no-vmware,tcp-loopback-rtt-1B,7,0.0353946,0.03504731428571429,0.0315685,0.0382062,0.0025321682023044813
