runId,command,group,number,ipiCallbackUs,captureAndControlSelectionUs,vmcsProgrammingUs,entryContinuationUs
transition-resident-nested-hidehv-20260915T212322969Z,resident-nested-hidehv,0,0,63.9,12.2,4.4,26.8
transition-resident-nested-hidehv-20260915T212322969Z,resident-nested-hidehv,0,1,59.8,12.3,4.4,22.4
transition-resident-nested-hidehv-20260915T212415421Z,resident-nested-hidehv,0,0,81.8,12.3,4.3,41.9
transition-resident-nested-hidehv-20260915T212415421Z,resident-nested-hidehv,0,1,63.1,12.3,4.4,23.2
transition-resident-nested-hidehv-20260915T212416721Z,resident-nested-hidehv,0,0,64.5,12.2,4.4,23.8
transition-resident-nested-hidehv-20260915T212416721Z,resident-nested-hidehv,0,1,67.9,11.7,4.4,26.7
transition-resident-nested-hidehv-20260915T212418050Z,resident-nested-hidehv,0,0,60.1,12.5,4.5,20.4
transition-resident-nested-hidehv-20260915T212418050Z,resident-nested-hidehv,0,1,64.6,12.7,4.3,24.9
transition-resident-nested-hidehv-20260915T212419367Z,resident-nested-hidehv,0,0,65.4,12.4,4.5,26.2
transition-resident-nested-hidehv-20260915T212419367Z,resident-nested-hidehv,0,1,61.0,12.4,4.4,22.3
transition-resident-nested-hidehv-20260915T212420685Z,resident-nested-hidehv,0,0,59.9,12.2,4.4,21.3
transition-resident-nested-hidehv-20260915T212420685Z,resident-nested-hidehv,0,1,63.9,12.2,4.5,23.4
transition-resident-nested-hidehv-20260915T212422007Z,resident-nested-hidehv,0,0,58.1,11.6,4.3,16.5
transition-resident-nested-hidehv-20260915T212422007Z,resident-nested-hidehv,0,1,63.8,12.3,4.3,24.7
transition-resident-nested-hidehv-20260915T212423328Z,resident-nested-hidehv,0,0,67.5,13.3,4.5,26.2
transition-resident-nested-hidehv-20260915T212423328Z,resident-nested-hidehv,0,1,63.5,13.6,4.8,21.9
transition-resident-nested-hidehv-20260915T212424639Z,resident-nested-hidehv,0,0,59.5,12.6,4.5,20.1
transition-resident-nested-hidehv-20260915T212424639Z,resident-nested-hidehv,0,1,64.3,12.4,4.4,24.7
transition-resident-nested-hidehv-20260915T212425951Z,resident-nested-hidehv,0,0,70.2,12.7,4.7,28.5
transition-resident-nested-hidehv-20260915T212425951Z,resident-nested-hidehv,0,1,68.9,12.8,4.4,11.8
transition-stop-20260915T212353485Z,stop,0,0,23.6,,,
transition-stop-20260915T212353485Z,stop,0,1,23.8,,,
transition-stop-20260915T212416064Z,stop,0,0,19.3,,,
transition-stop-20260915T212416064Z,stop,0,1,19.6,,,
transition-stop-20260915T212417399Z,stop,0,0,21.9,,,
transition-stop-20260915T212417399Z,stop,0,1,19.4,,,
transition-stop-20260915T212418709Z,stop,0,0,19.7,,,
transition-stop-20260915T212418709Z,stop,0,1,19.6,,,
transition-stop-20260915T212420030Z,stop,0,0,20.1,,,
transition-stop-20260915T212420030Z,stop,0,1,20.0,,,
transition-stop-20260915T212421365Z,stop,0,0,22.1,,,
transition-stop-20260915T212421365Z,stop,0,1,21.5,,,
transition-stop-20260915T212422665Z,stop,0,0,20.0,,,
transition-stop-20260915T212422665Z,stop,0,1,20.0,,,
transition-stop-20260915T212423976Z,stop,0,0,19.8,,,
transition-stop-20260915T212423976Z,stop,0,1,19.5,,,
transition-stop-20260915T212425297Z,stop,0,0,20.5,,,
transition-stop-20260915T212425297Z,stop,0,1,20.3,,,
transition-stop-20260915T212426610Z,stop,0,0,19.5,,,
transition-stop-20260915T212426610Z,stop,0,1,19.5,,,
