runId,source,command,iteration,driverSha256,valid,commandBodyUs,resourcePreparationUs,eptBuildUs,rendezvousEnvelopeUs,ipiArrivalSkewUs,ipiDepartureSkewUs,entryReturnSkewUs,transitionSequence
transition-resident-nested-hidehv-20260915T212322969Z,transition-resident-nested-hidehv-20260915T212322969Z.json,resident-nested-hidehv,0,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1562.6,1467.8,,91.9,0.3,3.8,4.5,4
transition-resident-nested-hidehv-20260915T212415421Z,transition-resident-nested-hidehv-20260915T212415421Z.json,resident-nested-hidehv,1,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1301.1,1189.2,,109.8,0.2,18.5,18.5,8
transition-resident-nested-hidehv-20260915T212416721Z,transition-resident-nested-hidehv-20260915T212416721Z.json,resident-nested-hidehv,2,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1218.5,1095.3,,120.8,1.5,4.9,4.7,12
transition-resident-nested-hidehv-20260915T212418050Z,transition-resident-nested-hidehv-20260915T212418050Z.json,resident-nested-hidehv,3,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1180.7,1091.1,,87.9,0.2,4.7,4.6,16
transition-resident-nested-hidehv-20260915T212419367Z,transition-resident-nested-hidehv-20260915T212419367Z.json,resident-nested-hidehv,4,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1287.4,1215.8,,69.4,0.2,4.2,4.3,20
transition-resident-nested-hidehv-20260915T212420685Z,transition-resident-nested-hidehv-20260915T212420685Z.json,resident-nested-hidehv,5,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1170.3,1081.5,,86.1,0.4,4.4,4.2,24
transition-resident-nested-hidehv-20260915T212422007Z,transition-resident-nested-hidehv-20260915T212422007Z.json,resident-nested-hidehv,6,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1226.5,1110.3,,114.2,1.4,4.3,4.4,28
transition-resident-nested-hidehv-20260915T212423328Z,transition-resident-nested-hidehv-20260915T212423328Z.json,resident-nested-hidehv,7,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1456.3,1363.9,,89.2,0.2,3.8,4.0,32
transition-resident-nested-hidehv-20260915T212424639Z,transition-resident-nested-hidehv-20260915T212424639Z.json,resident-nested-hidehv,8,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1172.8,1083.6,,87.3,0.1,4.7,4.8,36
transition-resident-nested-hidehv-20260915T212425951Z,transition-resident-nested-hidehv-20260915T212425951Z.json,resident-nested-hidehv,9,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,1618.8,1516.8,,98.6,0.0,1.3,1.2,40
transition-stop-20260915T212353485Z,transition-stop-20260915T212353485Z.json,stop,0,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,934.1,,,62.6,0.1,0.1,,6
transition-stop-20260915T212416064Z,transition-stop-20260915T212416064Z.json,stop,1,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,623.1,,,37.9,0.1,0.2,,10
transition-stop-20260915T212417399Z,transition-stop-20260915T212417399Z.json,stop,2,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,710.0,,,41.9,0.2,2.3,,14
transition-stop-20260915T212418709Z,transition-stop-20260915T212418709Z.json,stop,3,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,627.6,,,35.0,0.2,0.1,,18
transition-stop-20260915T212420030Z,transition-stop-20260915T212420030Z.json,stop,4,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,902.6,,,43.8,0.1,0.0,,22
transition-stop-20260915T212421365Z,transition-stop-20260915T212421365Z.json,stop,5,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,848.3,,,48.6,0.2,0.8,,26
transition-stop-20260915T212422665Z,transition-stop-20260915T212422665Z.json,stop,6,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,674.5,,,40.5,0.1,0.1,,30
transition-stop-20260915T212423976Z,transition-stop-20260915T212423976Z.json,stop,7,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,619.1,,,35.4,0.2,0.1,,34
transition-stop-20260915T212425297Z,transition-stop-20260915T212425297Z.json,stop,8,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,787.0,,,37.5,0.1,0.3,,38
transition-stop-20260915T212426610Z,transition-stop-20260915T212426610Z.json,stop,9,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,True,889.5,,,41.4,0.2,0.2,,42
