runId,configuration,workload,iteration,warmup,seconds,nsPerOperation,MiBPerSecond,affinityResult,continuity,conditionValid,binarySha256,scratchRemains,reportedVmExitDelta,source,valid
windows1-off-post-no-vmware-cpu-00-20260915T212356813Z,off-post-no-vmware,integer-xorshift,0,True,0.1311136,1.3111,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-00-20260915T212356813Z.json,True
windows1-off-post-no-vmware-cpu-01-20260915T212357485Z,off-post-no-vmware,integer-xorshift,1,False,0.1228416,1.2284,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-01-20260915T212357485Z.json,True
windows1-off-post-no-vmware-cpu-02-20260915T212402486Z,off-post-no-vmware,integer-xorshift,2,False,0.1235265,1.2353,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-02-20260915T212402486Z.json,True
windows1-off-post-no-vmware-cpu-03-20260915T212402861Z,off-post-no-vmware,integer-xorshift,3,False,0.1234212,1.2342,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-03-20260915T212402861Z.json,True
windows1-off-post-no-vmware-cpu-04-20260915T212407589Z,off-post-no-vmware,integer-xorshift,4,False,0.120735,1.2073,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-04-20260915T212407589Z.json,True
windows1-off-post-no-vmware-cpu-05-20260915T212410075Z,off-post-no-vmware,integer-xorshift,5,False,0.1454433,1.4544,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-05-20260915T212410075Z.json,True
windows1-off-post-no-vmware-cpu-06-20260915T212412529Z,off-post-no-vmware,integer-xorshift,6,False,0.1222968,1.223,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-06-20260915T212412529Z.json,True
windows1-off-post-no-vmware-cpu-07-20260915T212412842Z,off-post-no-vmware,integer-xorshift,7,False,0.12576,1.2576,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpu-07-20260915T212412842Z.json,True
windows1-off-post-no-vmware-cpuid-00-20260915T212356610Z,off-post-no-vmware,cpuid-leaf0,0,True,0.044027,440.27,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-00-20260915T212356610Z.json,True
windows1-off-post-no-vmware-cpuid-01-20260915T212357391Z,off-post-no-vmware,cpuid-leaf0,1,False,0.0337086,337.086,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-01-20260915T212357391Z.json,True
windows1-off-post-no-vmware-cpuid-02-20260915T212402392Z,off-post-no-vmware,cpuid-leaf0,2,False,0.0326904,326.904,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-02-20260915T212402392Z.json,True
windows1-off-post-no-vmware-cpuid-03-20260915T212402674Z,off-post-no-vmware,cpuid-leaf0,3,False,0.0328056,328.056,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-03-20260915T212402674Z.json,True
windows1-off-post-no-vmware-cpuid-04-20260915T212405650Z,off-post-no-vmware,cpuid-leaf0,4,False,0.0322652,322.652,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-04-20260915T212405650Z.json,True
windows1-off-post-no-vmware-cpuid-05-20260915T212407980Z,off-post-no-vmware,cpuid-leaf0,5,False,0.0338585,338.585,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-05-20260915T212407980Z.json,True
windows1-off-post-no-vmware-cpuid-06-20260915T212410387Z,off-post-no-vmware,cpuid-leaf0,6,False,0.0328659,328.659,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-06-20260915T212410387Z.json,True
windows1-off-post-no-vmware-cpuid-07-20260915T212414952Z,off-post-no-vmware,cpuid-leaf0,7,False,0.0348544,348.544,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-cpuid-07-20260915T212414952Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T212354203Z,off-post-no-vmware,disk-direct-write-64MiB,0,True,0.2030136,3172087.5,315.2498,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T212354203Z.json,True
windows1-off-post-no-vmware-disk-00-20260915T212354203Z,off-post-no-vmware,disk-direct-read-64MiB,0,True,0.0644967,1007760.9375,992.2988,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-00-20260915T212354203Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T212357766Z,off-post-no-vmware,disk-direct-write-64MiB,1,False,0.0465944,728037.5,1373.5556,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T212357766Z.json,True
windows1-off-post-no-vmware-disk-01-20260915T212357766Z,off-post-no-vmware,disk-direct-read-64MiB,1,False,0.0317864,496662.5,2013.4397,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-01-20260915T212357766Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T212400266Z,off-post-no-vmware,disk-direct-write-64MiB,2,False,0.0579818,905965.625,1103.7946,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T212400266Z.json,True
windows1-off-post-no-vmware-disk-02-20260915T212400266Z,off-post-no-vmware,disk-direct-read-64MiB,2,False,0.0391899,612342.1875,1633.0738,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-02-20260915T212400266Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T212403361Z,off-post-no-vmware,disk-direct-write-64MiB,3,False,0.0404713,632364.0625,1581.3675,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T212403361Z.json,True
windows1-off-post-no-vmware-disk-03-20260915T212403361Z,off-post-no-vmware,disk-direct-read-64MiB,3,False,0.0333077,520432.8125,1921.4776,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,0,windows1-off-post-no-vmware-disk-03-20260915T212403361Z.json,True
