configuration,workload,n,median,mean,min,max,sampleSd
off-post-no-vmware,cpuid-leaf0,7,0.0328659,0.033292657142857146,0.0322652,0.0348544,0.0008916235675387207
off-post-no-vmware,disk-direct-read-64MiB,7,0.0326692,0.0395569,0.0314711,0.0760424,0.01630107380491645
off-post-no-vmware,disk-direct-write-64MiB,7,0.0425448,0.046742900000000004,0.032099,0.0708856,0.01343509078483159
off-post-no-vmware,integer-xorshift,7,0.1234212,0.1262892,0.120735,0.1454433,0.0085799366343814
off-post-no-vmware,memcpy-32MiB,7,0.1613697,0.15714814285714285,0.1382162,0.1847373,0.017374614071575527
off-post-no-vmware,pointer-chase-64MiB,7,0.7394317,0.7516535,0.7356994,0.8054918,0.02584870101410642
off-post-no-vmware,tcp-loopback-64MiB,7,0.0206645,0.02257985714285714,0.0201589,0.0327705,0.004530362508621558
off-post-no-vmware,tcp-loopback-rtt-1B,7,0.0248399,0.025945657142857143,0.024251,0.0316764,0.0026786583158098275
off-pre-no-vmware,cpuid-leaf0,7,0.0339593,0.03613045714285714,0.0320127,0.0516827,0.006952857572695595
off-pre-no-vmware,disk-direct-read-64MiB,7,0.0325931,0.032448614285714286,0.0316077,0.0332665,0.000608007303762521
off-pre-no-vmware,disk-direct-write-64MiB,7,0.0463495,0.0449156,0.0312234,0.0642874,0.011700667277410577
off-pre-no-vmware,integer-xorshift,7,0.1232316,0.1239115,0.1207457,0.1288104,0.0025858389199638846
off-pre-no-vmware,memcpy-32MiB,7,0.1530819,0.16017375714285714,0.140032,0.1891239,0.01978562795649553
off-pre-no-vmware,pointer-chase-64MiB,7,0.7482617,0.7536361571428571,0.7241579,0.7889721,0.02769057959227631
off-pre-no-vmware,tcp-loopback-64MiB,7,0.0240972,0.024369285714285715,0.0235394,0.0255504,0.0007559809883600948
off-pre-no-vmware,tcp-loopback-rtt-1B,7,0.0248426,0.024829485714285716,0.0238755,0.0259787,0.0006352410157532633
on-no-vmware,cpuid-leaf0,7,0.3480576,0.3581414857142857,0.3413052,0.4111781,0.024908649748191795
on-no-vmware,disk-direct-read-64MiB,7,0.0347314,0.03435835714285714,0.0320549,0.0359343,0.0014123266877238952
on-no-vmware,disk-direct-write-64MiB,7,0.039695,0.0442591,0.0342629,0.0626502,0.010456024191664186
on-no-vmware,integer-xorshift,7,0.1280318,0.12996552857142857,0.1224565,0.1475641,0.008451994543639645
on-no-vmware,memcpy-32MiB,7,0.1550087,0.17089585714285715,0.145559,0.2380073,0.034894551848049155
on-no-vmware,pointer-chase-64MiB,7,0.767671,0.7719038285714286,0.7329488,0.8208835,0.03565339557366704
on-no-vmware,tcp-loopback-64MiB,7,0.0243186,0.024500357142857143,0.0235253,0.0253211,0.0007597870509933314
on-no-vmware,tcp-loopback-rtt-1B,7,0.0339964,0.03459704285714286,0.0329167,0.0393734,0.0021688464651800072
