runId,source,case,condition,result,loadCpu0BusyPercent,loadCpu1BusyPercent,effectPass,error,originalBacking,replacementBacking,fill,mapBodyUs,restoreBodyUs,commitDrainUs,retireDrainUs,ruleAllocations,ruleFrees,replacementAllocations,replacementFrees,inveptAttempts,inveptSucceeded,inveptFailed
nested-page-guest-cpu-load-remap-restore-20260915T211448127Z,nested-page-guest-cpu-load-remap-restore-20260915T211448127Z.json,remap-restore,guest-cpu-load,incomplete,99.8404740200547,99.98792853693868,True,"incomplete trace for operation 95: [], expected [1, 2, 3, 4, 5, 6, 11]",,,,,,,,,,,,,,
nested-page-guest-cpu-load-remap-restore-20260915T211504477Z,nested-page-guest-cpu-load-remap-restore-20260915T211504477Z.json,remap-restore,guest-cpu-load,incomplete,99.8404740200547,99.98792853693868,True,"incomplete trace for operation 97: [], expected [1, 2, 3, 4, 5, 6, 11]",,,,,,,,,,,,,,
nested-page-guest-cpu-load-remap-restore-20260915T211520922Z,nested-page-guest-cpu-load-remap-restore-20260915T211520922Z.json,remap-restore,guest-cpu-load,incomplete,99.8404740200547,99.98792853693868,True,"incomplete trace for operation 99: [], expected [1, 2, 3, 4, 5, 6, 11]",,,,,,,,,,,,,,
nested-page-guest-cpu-load-remap-restore-20260915T211537523Z,nested-page-guest-cpu-load-remap-restore-20260915T211537523Z.json,remap-restore,guest-cpu-load,pass,99.8404740200547,99.98792853693868,True,,0x0000000030612000,0x0000000204FE3000,C4,170.9,106.8,140.3,96.6,1,1,1,1,36987,36987,0
nested-page-guest-cpu-load-remap-restore-20260915T211554027Z,nested-page-guest-cpu-load-remap-restore-20260915T211554027Z.json,remap-restore,guest-cpu-load,incomplete,99.8404740200547,99.98792853693868,True,"incomplete trace for operation 103: [], expected [1, 2, 3, 4, 5, 6, 11]",,,,,,,,,,,,,,
nested-page-guest-cpu-load-remap-restore-20260915T211812169Z,nested-page-guest-cpu-load-remap-restore-20260915T211812169Z.json,remap-restore,guest-cpu-load,pass,99.45218530427533,99.9407091189375,True,,0x0000000030612000,0x0000000204FE3000,C1,117.2,168.9,89.4,158.0,1,1,1,1,40379,40379,0
nested-page-guest-cpu-load-remap-restore-20260915T211829890Z,nested-page-guest-cpu-load-remap-restore-20260915T211829890Z.json,remap-restore,guest-cpu-load,pass,99.45218530427533,99.9407091189375,True,,0x0000000030612000,0x0000000204FE3000,C2,196.7,177.5,164.9,164.5,1,1,1,1,39657,39657,0
nested-page-guest-cpu-load-remap-restore-20260915T211847367Z,nested-page-guest-cpu-load-remap-restore-20260915T211847367Z.json,remap-restore,guest-cpu-load,pass,99.45218530427533,99.9407091189375,True,,0x0000000030612000,0x0000000204FE3000,C3,154.9,119.7,113.1,106.8,1,1,1,1,37509,37509,0
nested-page-guest-cpu-load-remap-restore-20260915T211903858Z,nested-page-guest-cpu-load-remap-restore-20260915T211903858Z.json,remap-restore,guest-cpu-load,pass,99.45218530427533,99.9407091189375,True,,0x0000000030612000,0x0000000204FE3000,C4,184.2,142.9,150.6,131.5,1,1,1,1,41489,41489,0
nested-page-guest-cpu-load-remap-restore-20260915T211922357Z,nested-page-guest-cpu-load-remap-restore-20260915T211922357Z.json,remap-restore,guest-cpu-load,pass,99.45218530427533,99.9407091189375,True,,0x0000000030612000,0x0000000204FE3000,C5,198.5,164.4,162.6,144.5,1,1,1,1,39005,39005,0
nested-page-idle-gpa-above-52-bits-20260915T205453465Z,nested-page-idle-gpa-above-52-bits-20260915T205453465Z.json,gpa-above-52-bits,idle,clean_reject,,,,,,,,,,,,0,0,0,0,3564,3564,0
nested-page-idle-remap-restore-20260915T205349560Z,nested-page-idle-remap-restore-20260915T205349560Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C1,156.9,99.4,110.3,86.4,1,1,1,1,9208,9208,0
nested-page-idle-remap-restore-20260915T205355971Z,nested-page-idle-remap-restore-20260915T205355971Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C2,124.8,111.4,97.9,97.6,1,1,1,1,5922,5922,0
nested-page-idle-remap-restore-20260915T205402257Z,nested-page-idle-remap-restore-20260915T205402257Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C3,228.7,365.5,140.7,352.2,1,1,1,1,8071,8071,0
nested-page-idle-remap-restore-20260915T205408779Z,nested-page-idle-remap-restore-20260915T205408779Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C4,138.5,105.0,112.4,92.3,1,1,1,1,9314,9314,0
nested-page-idle-remap-restore-20260915T205415250Z,nested-page-idle-remap-restore-20260915T205415250Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C5,127.3,132.8,99.1,120.8,1,1,1,1,7220,7220,0
nested-page-idle-remap-restore-20260915T205421574Z,nested-page-idle-remap-restore-20260915T205421574Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C6,113.8,98.1,86.3,87.0,1,1,1,1,8264,8264,0
nested-page-idle-remap-restore-20260915T205427813Z,nested-page-idle-remap-restore-20260915T205427813Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C7,168.6,80.2,129.7,67.1,1,1,1,1,7963,7963,0
nested-page-idle-remap-restore-20260915T205434169Z,nested-page-idle-remap-restore-20260915T205434169Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C8,95.4,153.5,66.6,142.3,1,1,1,1,6259,6259,0
nested-page-idle-remap-restore-20260915T205440420Z,nested-page-idle-remap-restore-20260915T205440420Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,C9,186.1,120.3,157.7,101.4,1,1,1,1,9228,9228,0
nested-page-idle-remap-restore-20260915T205446696Z,nested-page-idle-remap-restore-20260915T205446696Z.json,remap-restore,idle,pass,,,True,,0x0000000030612000,0x0000000204FE3000,CA,117.1,140.1,90.0,126.2,1,1,1,1,7962,7962,0
nested-page-idle-unaligned-gpa-20260915T205456603Z,nested-page-idle-unaligned-gpa-20260915T205456603Z.json,unaligned-gpa,idle,clean_reject,,,,,,,,,,,,0,0,0,0,5395,5395,0
