runId,source,faultMode,result,guestBootId,driverSha256,ruleAllocations,ruleFrees,replacementAllocations,replacementFrees,inveptAttempts,inveptSucceeded,inveptFailed,operationBodyUs,allocateInitializeUs,commitDrainUs,retireDrainUs,error
page-fault-1-1-20260915T205119747Z,page-fault-1-1-20260915T205119747Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,2190,2190,0,0.9,0.8,,,
page-fault-1-1-20260915T205258640Z,page-fault-1-1-20260915T205258640Z.json,1,incomplete,,,,,,,,,,,,,,"incomplete trace for operation 8: [], expected [1, 2, 3, 11]"
page-fault-1-1-20260915T205620353Z,page-fault-1-1-20260915T205620353Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,8696,8696,0,0.9,0.7,,,
page-fault-1-2-20260915T205311184Z,page-fault-1-2-20260915T205311184Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,1861,1861,0,0.8,0.7,,,
page-fault-1-2-20260915T205648679Z,page-fault-1-2-20260915T205648679Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,6781,6781,0,1.0,0.8,,,
page-fault-1-3-20260915T205323696Z,page-fault-1-3-20260915T205323696Z.json,1,incomplete,,,,,,,,,,,,,,missing fresh two-CPU original-page readback
page-fault-1-3-20260915T205716091Z,page-fault-1-3-20260915T205716091Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,9309,9309,0,0.8,0.6,,,
page-fault-1-4-20260915T205336492Z,page-fault-1-4-20260915T205336492Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,3066,3066,0,0.9,0.6,,,
page-fault-1-4-20260915T205745472Z,page-fault-1-4-20260915T205745472Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,7733,7733,0,0.8,0.8,,,
page-fault-1-5-20260915T205814447Z,page-fault-1-5-20260915T205814447Z.json,1,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,0,0,7068,7068,0,1.0,0.8,,,
page-fault-2-1-20260915T205122787Z,page-fault-2-1-20260915T205122787Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,4151,4151,0,39.2,38.1,,,
page-fault-2-1-20260915T205301447Z,page-fault-2-1-20260915T205301447Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,3304,3304,0,26.2,25.1,,,
page-fault-2-1-20260915T205626193Z,page-fault-2-1-20260915T205626193Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,7061,7061,0,27.7,26.4,,,
page-fault-2-2-20260915T205313498Z,page-fault-2-2-20260915T205313498Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,1786,1786,0,26.7,25.6,,,
page-fault-2-2-20260915T205654065Z,page-fault-2-2-20260915T205654065Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,6613,6613,0,23.0,22.1,,,
page-fault-2-3-20260915T205326341Z,page-fault-2-3-20260915T205326341Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,2620,2620,0,21.9,20.8,,,
page-fault-2-3-20260915T205721770Z,page-fault-2-3-20260915T205721770Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,11184,11184,0,29.2,27.9,,,
page-fault-2-4-20260915T205338830Z,page-fault-2-4-20260915T205338830Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,2381,2381,0,67.1,64.8,,,
page-fault-2-4-20260915T205751569Z,page-fault-2-4-20260915T205751569Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,7234,7234,0,25.3,24.3,,,
page-fault-2-5-20260915T205819868Z,page-fault-2-5-20260915T205819868Z.json,2,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,9487,9487,0,22.3,21.4,,,
page-fault-3-1-20260915T205125363Z,page-fault-3-1-20260915T205125363Z.json,3,incomplete,,,,,,,,,,,,,,missing fresh two-CPU original-page readback
page-fault-3-1-20260915T205303814Z,page-fault-3-1-20260915T205303814Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,3684,3684,0,284.6,112.7,119.9,36.0,
page-fault-3-1-20260915T205631990Z,page-fault-3-1-20260915T205631990Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,7040,7040,0,227.9,22.6,158.3,37.0,
page-fault-3-2-20260915T205316198Z,page-fault-3-2-20260915T205316198Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,3688,3688,0,227.3,24.4,95.1,96.9,
page-fault-3-2-20260915T205659454Z,page-fault-3-2-20260915T205659454Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,6859,6859,0,126.6,30.3,51.0,31.9,
page-fault-3-3-20260915T205328774Z,page-fault-3-3-20260915T205328774Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,2146,2146,0,223.7,22.7,139.8,47.4,
page-fault-3-3-20260915T205727479Z,page-fault-3-3-20260915T205727479Z.json,3,pass,13391ee4-65c6-4dd3-b3f7-17d181422f30,667D21B398B7C6A6FA9D00BAC203576C05E32B6F33F0536573C99011D3EFC407,1,1,1,1,9963,9963,0,243.4,20.6,180.7,30.9,
