source,sequence,capturedUtc,residentCpus,vmExits,vmExitsPerSecond,eptViolationsPerSecond,inveptPerSecond,poolNonpagedBytes,vmwarePrivateBytes,cpu0GuestUptime,cpu1GuestUptime,ruleOutstanding,replacementOutstanding,captureDurationMs,issues
stability-20260915T210242Z.jsonl,0,2026-09-15T21:02:48.6054608Z,2,233333492,,,,103845888,38268928,1477.42,1477.32,0,0,5576.5882,
stability-20260915T210242Z.jsonl,1,2026-09-15T21:03:19.0444824Z,2,238342086,140638.42643905396,59209.870550437154,1250.1239636299372,102666240,38297600,1508.68,1507.84,0,0,390.2139,
stability-20260915T210242Z.jsonl,2,2026-09-15T21:03:49.4345778Z,2,243233112,160909.6778774145,66780.1551448586,1368.5310158532563,102731776,38297600,1539.17,1537.75,0,0,383.9496,
stability-20260915T210242Z.jsonl,3,2026-09-15T21:04:19.8106967Z,2,248047644,158437.08340200983,65514.52437339152,1332.909538479546,102739968,38297600,1569.46,1568.87,0,0,371.7609,
stability-20260915T210242Z.jsonl,4,2026-09-15T21:04:50.2173653Z,2,252734246,154219.3203069189,64442.13415742431,1319.9425460389277,102322176,38297600,1598.9,1599.59,0,0,390.6533,
stability-20260915T210242Z.jsonl,5,2026-09-15T21:05:20.5676241Z,2,257932110,171017.83493224767,66708.99891064578,1373.9691509378972,102440960,38297600,1629.8,1630.24,0,0,345.7283,
stability-20260915T210242Z.jsonl,6,2026-09-15T21:05:50.9569289Z,2,262729524,158048.28497076183,61727.63428839199,1347.659633564865,102875136,38297600,1659.96,1659.72,0,0,387.3731,
stability-20260915T210242Z.jsonl,7,2026-09-15T21:06:21.4698419Z,2,267565022,159108.7458466325,62408.13218281648,1268.3626021870223,102871040,38297600,1691.23,1690.92,0,0,502.9079,
stability-20260915T210242Z.jsonl,8,2026-09-15T21:06:51.9137958Z,2,272212531,152326.33292026827,60393.676886021385,1216.7728525823272,102957056,38297600,1721.29,1721.48,0,0,436.718,
stability-20260915T210242Z.jsonl,9,2026-09-15T21:07:22.2981790Z,2,276682638,146819.22402011688,59091.188225881946,1212.9211054319048,103034880,38268928,1751.44,1751.96,0,0,376.8249,
stability-20260915T210242Z.jsonl,10,2026-09-15T21:07:52.7007768Z,2,281846251,169917.8175504558,75172.9787887018,1540.6619938199842,102645760,38268928,1780.27,1782.09,0,0,388.8729,
stability-20260915T210242Z.jsonl,11,2026-09-15T21:08:23.0863144Z,2,286814670,163449.03516124544,61634.33474598896,1293.0728620206778,102719488,38268928,1812.27,1812.51,0,0,376.5788,
stability-20260915T210242Z.jsonl,12,2026-09-15T21:08:53.4810675Z,2,291570257,156440.76715161768,63388.9813001783,1338.1189504947238,102731776,38293504,1842.61,1842.38,0,0,372.5109,
stability-20260915T210242Z.jsonl,13,2026-09-15T21:09:23.8564582Z,2,296517737,162866.55834814403,62576.79427932248,1310.8053972658297,102735872,38293504,1872.07,1873.11,0,0,371.6865,
stability-20260915T210242Z.jsonl,14,2026-09-15T21:09:54.4405524Z,2,301562444,166022.99646505495,68574.0140825561,1418.073417283254,102739968,38293504,1903.56,1903.89,0,0,569.5213,
stability-20260915T210242Z.jsonl,15,2026-09-15T21:10:24.8100482Z,2,306334070,156035.42527685163,62756.50047214225,1282.095645976764,102768640,38293504,1932.98,1932.75,0,0,358.5988,
stability-20260915T210242Z.jsonl,16,2026-09-15T21:10:55.2644233Z,2,310944671,151849.39920662876,59252.178659326026,1212.4631436103084,102543360,38236160,1963.71,1963.94,0,0,468.9622,
stability-20260915T210242Z.jsonl,17,2026-09-15T21:11:25.7148959Z,2,316025852,166703.4449944277,69404.4626421883,1464.5168280969046,102612992,38297600,1995.29,1994.22,0,0,419.9118,
stability-20260915T210242Z.jsonl,18,2026-09-15T21:11:56.0913156Z,2,321063194,165540.35609897404,68692.57896556334,1431.299417338492,102944768,38297600,2024.94,2025.14,0,0,366.0713,
stability-20260915T210242Z.jsonl,19,2026-09-15T21:12:26.4565542Z,2,325446010,144265.54517127725,57240.70433349892,1155.1273831015567,102944768,38297600,2055.24,2055.44,0,0,351.3009,
stability-20260915T210242Z.jsonl,20,2026-09-15T21:12:42.8125546Z,2,328209617,168865.26307416323,69992.07900738093,1462.871986957097,102957056,38297600,2071.32,2071.94,0,0,341.7146,
