source,sequence,capturedUtc,residentCpus,reportedVmExits,reportedExitsPerSecond,poolNonpagedBytes,poolPagedBytes,vmwarePrivateBytes,activeMappings,retiredPages,captureDurationMs
stability-20260915T155904Z.jsonl,0,2026-09-15T15:59:12.3070883Z,2,45499091,,99991552,200519680,38801408,0,0,5332.479
stability-20260915T155904Z.jsonl,1,2026-09-15T15:59:42.7483775Z,2,45586098,2858.1903830357296,99209216,200916992,38739968,0,0,377.4043
stability-20260915T155904Z.jsonl,2,2026-09-15T16:00:13.1304593Z,2,45665211,2603.9360975270138,98811904,201027584,38801408,0,0,377.5662
stability-20260915T155904Z.jsonl,3,2026-09-15T16:00:43.4750828Z,2,45722984,1903.8958000825507,98906112,201027584,38801408,0,0,340.2728
stability-20260915T155904Z.jsonl,4,2026-09-15T16:01:13.8399471Z,2,45784406,2022.798384556783,99065856,201052160,38801408,0,0,356.9821
stability-20260915T155904Z.jsonl,5,2026-09-15T16:01:44.1998771Z,2,45861904,2552.640928416023,98660352,201211904,38801408,0,0,350.0252
stability-20260915T155904Z.jsonl,6,2026-09-15T16:02:14.5748363Z,2,45904325,1396.5780171478252,98713600,201207808,38801408,0,0,377.6409
stability-20260915T155904Z.jsonl,7,2026-09-15T16:02:44.9658849Z,2,45974292,2302.2240004561413,98713600,201216000,38801408,0,0,360.4419
stability-20260915T155904Z.jsonl,8,2026-09-15T16:03:15.3032640Z,2,46045101,2334.0512647358983,98746368,201216000,38739968,0,0,332.7483
stability-20260915T155904Z.jsonl,9,2026-09-15T16:03:45.6330116Z,2,46287975,8007.7818782446775,98918400,201277440,38801408,0,0,319.9354
stability-20260915T155904Z.jsonl,10,2026-09-15T16:04:15.9824260Z,2,46357467,2289.7311331930687,99115008,201453568,38801408,0,0,340.7274
stability-20260915T155904Z.jsonl,11,2026-09-15T16:04:46.3295900Z,2,46426157,2263.473438615408,99127296,201457664,38801408,0,0,344.2908
stability-20260915T155904Z.jsonl,12,2026-09-15T16:05:16.6608218Z,2,46559882,4408.822066411257,99639296,204427264,39899136,0,0,332.1966
stability-20260915T155904Z.jsonl,13,2026-09-15T16:05:47.0323361Z,2,47028757,15437.985212458312,98869248,201494528,38739968,0,0,364.966
stability-20260915T155904Z.jsonl,14,2026-09-15T16:06:17.3855866Z,2,47129068,3304.786140256898,99053568,201527296,38801408,0,0,340.2945
stability-20260915T155904Z.jsonl,15,2026-09-15T16:06:47.7288303Z,2,47211424,2714.146180096471,99053568,201531392,38801408,0,0,327.3099
stability-20260915T155904Z.jsonl,16,2026-09-15T16:07:18.0967241Z,2,47287798,2514.958731262657,99061760,201592832,38801408,0,0,358.5755
stability-20260915T155904Z.jsonl,17,2026-09-15T16:07:48.4594214Z,2,47392437,3446.301242365345,99164160,201596928,38801408,0,0,350.2167
stability-20260915T155904Z.jsonl,18,2026-09-15T16:08:18.8059096Z,2,47478496,2835.8800531693323,99172352,201596928,38801408,0,0,341.2901
stability-20260915T155904Z.jsonl,19,2026-09-15T16:08:49.1708425Z,2,49388263,62893.83214264851,102449152,201502720,38801408,0,0,351.8862
stability-20260915T155904Z.jsonl,20,2026-09-15T16:09:06.5164250Z,2,49474132,4950.482217169608,102625280,201711616,38801408,0,0,343.8867
