runId,command,iteration,condition,result,continuity,residentBefore,residentAfter,commandWallMs,internalTransitionPauseMs,censoredAtTimeout,source
transition-resident-nested-hidehv-20260915T164051137Z,resident-nested-hidehv,0,windows1-no-vmware-with-two-busy-observers,pass,True,0,2,843.1932,,False,transition-resident-nested-hidehv-20260915T164051137Z.json
transition-resident-nested-hidehv-20260915T164156009Z,resident-nested-hidehv,1,windows1-no-vmware-with-two-busy-observers,pass,True,0,2,7242.9311,,False,transition-resident-nested-hidehv-20260915T164156009Z.json
transition-resident-nested-hidehv-20260915T164600328Z,resident-nested-hidehv,1,windows1-no-vmware-no-busy-observers,pass,True,0,2,18.4208,,False,transition-resident-nested-hidehv-20260915T164600328Z.json
transition-resident-nested-hidehv-20260915T164601903Z,resident-nested-hidehv,2,windows1-no-vmware-no-busy-observers,pass,True,0,2,16.869,,False,transition-resident-nested-hidehv-20260915T164601903Z.json
transition-resident-nested-hidehv-20260915T164603216Z,resident-nested-hidehv,3,windows1-no-vmware-no-busy-observers,pass,True,0,2,15.0954,,False,transition-resident-nested-hidehv-20260915T164603216Z.json
transition-resident-nested-hidehv-20260915T164604517Z,resident-nested-hidehv,4,windows1-no-vmware-no-busy-observers,pass,True,0,2,15.6316,,False,transition-resident-nested-hidehv-20260915T164604517Z.json
transition-resident-nested-hidehv-20260915T164605830Z,resident-nested-hidehv,5,windows1-no-vmware-no-busy-observers,pass,True,0,2,13.7121,,False,transition-resident-nested-hidehv-20260915T164605830Z.json
transition-resident-nested-hidehv-20260915T164607144Z,resident-nested-hidehv,6,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.8779,,False,transition-resident-nested-hidehv-20260915T164607144Z.json
transition-resident-nested-hidehv-20260915T164608447Z,resident-nested-hidehv,7,windows1-no-vmware-no-busy-observers,pass,True,0,2,14.3084,,False,transition-resident-nested-hidehv-20260915T164608447Z.json
transition-stop-20260915T164118600Z,stop,0,windows1-no-vmware-with-two-busy-observers,pass,True,2,0,14776.7922,,False,transition-stop-20260915T164118600Z.json
transition-stop-20260915T164205932Z,stop,1,windows1-no-vmware-with-two-busy-observers,command_timeout_state_reached,True,2,0,30132.0475,,True,transition-stop-20260915T164205932Z.json
transition-stop-20260915T164601247Z,stop,1,windows1-no-vmware-no-busy-observers,pass,True,2,0,17.4922,,False,transition-stop-20260915T164601247Z.json
transition-stop-20260915T164602560Z,stop,2,windows1-no-vmware-no-busy-observers,pass,True,2,0,17.6379,,False,transition-stop-20260915T164602560Z.json
transition-stop-20260915T164603857Z,stop,3,windows1-no-vmware-no-busy-observers,pass,True,2,0,14.4406,,False,transition-stop-20260915T164603857Z.json
transition-stop-20260915T164605173Z,stop,4,windows1-no-vmware-no-busy-observers,pass,True,2,0,15.4235,,False,transition-stop-20260915T164605173Z.json
transition-stop-20260915T164606488Z,stop,5,windows1-no-vmware-no-busy-observers,pass,True,2,0,15.0954,,False,transition-stop-20260915T164606488Z.json
transition-stop-20260915T164607803Z,stop,6,windows1-no-vmware-no-busy-observers,pass,True,2,0,14.4177,,False,transition-stop-20260915T164607803Z.json
transition-stop-20260915T164609103Z,stop,7,windows1-no-vmware-no-busy-observers,pass,True,2,0,16.7233,,False,transition-stop-20260915T164609103Z.json
