runId,configuration,workload,iteration,warmup,seconds,nsPerOperation,MiBPerSecond,affinityResult,continuity,conditionValid,binarySha256,scratchRemains,reportedVmExitDelta,source,valid
windows1-ksword-on-cpu-00-20260915T160826370Z,ksword-on,integer-xorshift,0,True,0.1257951,1.258,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,23277,windows1-ksword-on-cpu-00-20260915T160826370Z.json,True
windows1-ksword-on-cpu-01-20260915T160827372Z,ksword-on,integer-xorshift,1,False,0.1244793,1.2448,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,2387,windows1-ksword-on-cpu-01-20260915T160827372Z.json,True
windows1-ksword-on-cpu-02-20260915T160832664Z,ksword-on,integer-xorshift,2,False,0.1226866,1.2269,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,16421,windows1-ksword-on-cpu-02-20260915T160832664Z.json,True
windows1-ksword-on-cpu-03-20260915T160833349Z,ksword-on,integer-xorshift,3,False,0.1243269,1.2433,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,13553,windows1-ksword-on-cpu-03-20260915T160833349Z.json,True
windows1-ksword-on-cpu-04-20260915T160838410Z,ksword-on,integer-xorshift,4,False,0.1232937,1.2329,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,23449,windows1-ksword-on-cpu-04-20260915T160838410Z.json,True
windows1-ksword-on-cpu-05-20260915T160841299Z,ksword-on,integer-xorshift,5,False,0.1257541,1.2575,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,14824,windows1-ksword-on-cpu-05-20260915T160841299Z.json,True
windows1-ksword-on-cpu-06-20260915T160843999Z,ksword-on,integer-xorshift,6,False,0.1231891,1.2319,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,13353,windows1-ksword-on-cpu-06-20260915T160843999Z.json,True
windows1-ksword-on-cpu-07-20260915T160844320Z,ksword-on,integer-xorshift,7,False,0.1237481,1.2375,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,2440,windows1-ksword-on-cpu-07-20260915T160844320Z.json,True
windows1-ksword-on-cpuid-00-20260915T160825846Z,ksword-on,cpuid-leaf0,0,True,0.3540229,3540.229,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,113367,windows1-ksword-on-cpuid-00-20260915T160825846Z.json,True
windows1-ksword-on-cpuid-01-20260915T160826944Z,ksword-on,cpuid-leaf0,1,False,0.3579128,3579.128,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,115065,windows1-ksword-on-cpuid-01-20260915T160826944Z.json,True
windows1-ksword-on-cpuid-02-20260915T160832250Z,ksword-on,cpuid-leaf0,2,False,0.3459382,3459.382,0.0,0,True,True,A37D9D1B3FC22D5539C51C3DC364B7C1BAA0061913B72EFEF8183E020D464E0D,False,117263,windows1-ksword-on-cpuid-02-20260915T160832250Z.json,True
