configuration,workload,n,median,mean,min,max,sampleSd
ksword-on,cpuid-leaf0,7,0.3487713,0.3499144,0.3459382,0.3579128,0.00426458321957335
ksword-on,disk-direct-read-64MiB,7,0.0321971,0.03315621428571428,0.0308229,0.0371357,0.0020788637973891506
ksword-on,disk-direct-write-64MiB,7,0.0372147,0.0405693,0.0269288,0.0561614,0.010566061934009914
ksword-on,integer-xorshift,7,0.1237481,0.1239254,0.1226866,0.1257541,0.0010262711191493222
ksword-on,memcpy-32MiB,7,0.1642477,0.16901534285714284,0.1453758,0.2170325,0.024353275570023918
ksword-on,pointer-chase-64MiB,7,0.7356266,0.7374822,0.7281254,0.749142,0.007659504133645544
ksword-on,tcp-loopback-64MiB,7,0.0273548,0.027519685714285713,0.0254169,0.0308607,0.0017520702244569347
ksword-on,tcp-loopback-rtt-1B,7,0.032329,0.03243998571428571,0.0311185,0.0350341,0.0013720334221251939
off-post-no-vmware,cpuid-leaf0,7,0.0328525,0.03311922857142857,0.0325854,0.0343311,0.0006410562682383041
off-post-no-vmware,disk-direct-read-64MiB,7,0.032859,0.03346277142857143,0.0317053,0.0367261,0.0018948904222621827
off-post-no-vmware,disk-direct-write-64MiB,7,0.035054,0.03724727142857143,0.0327985,0.0439891,0.004504630091625833
off-post-no-vmware,integer-xorshift,7,0.1233163,0.12364967142857143,0.1215188,0.1280056,0.0021855043549977864
off-post-no-vmware,memcpy-32MiB,7,0.1533415,0.1582142,0.1428987,0.1874157,0.01519318989646348
off-post-no-vmware,pointer-chase-64MiB,7,0.7352906,0.7270033571428571,0.7113075,0.7376712,0.012175851583613784
off-post-no-vmware,tcp-loopback-64MiB,7,0.021637,0.022135028571428572,0.0205593,0.0245491,0.0014988869845258363
off-post-no-vmware,tcp-loopback-rtt-1B,7,0.0237185,0.023712414285714287,0.0230686,0.0240841,0.00032091158402573224
off-pre-no-vmware,cpuid-leaf0,7,0.0340319,0.03404814285714286,0.0326209,0.0361167,0.0011378880786456146
off-pre-no-vmware,disk-direct-read-64MiB,7,0.0322681,0.0380906,0.0310311,0.0715913,0.0148645706229051
off-pre-no-vmware,disk-direct-write-64MiB,7,0.037259,0.08806578571428572,0.0338249,0.3940908,0.13496263341702436
off-pre-no-vmware,integer-xorshift,7,0.123356,0.123511,0.1214108,0.1260334,0.001533082538547743
off-pre-no-vmware,memcpy-32MiB,7,0.1644197,0.1642515142857143,0.1388586,0.1832193,0.01534885938112108
off-pre-no-vmware,pointer-chase-64MiB,7,0.7414475,0.7354612857142857,0.7184787,0.7457595,0.010151005567828993
off-pre-no-vmware,tcp-loopback-64MiB,7,0.0248288,0.02538157142857143,0.023054,0.0290885,0.0026432298655964357
off-pre-no-vmware,tcp-loopback-rtt-1B,7,0.0238984,0.023875414285714287,0.0227856,0.0247822,0.0006971184271187876
on-no-vmware,cpuid-leaf0,7,0.3429933,0.3451921857142857,0.3399198,0.3577638,0.006004627545049069
on-no-vmware,disk-direct-read-64MiB,7,0.031911,0.0319841,0.0309853,0.0332641,0.000819083113405878
on-no-vmware,disk-direct-write-64MiB,7,0.0337552,0.034676985714285714,0.0300797,0.0424965,0.00468099533305634
on-no-vmware,integer-xorshift,7,0.1255545,0.12524221428571428,0.1207672,0.1285049,0.0023036618664122347
on-no-vmware,memcpy-32MiB,7,0.1577976,0.16140158571428573,0.1503299,0.1823203,0.011258939259454915
on-no-vmware,pointer-chase-64MiB,7,0.7215713,0.7242448857142857,0.7191539,0.7335433,0.005783360781134251
on-no-vmware,tcp-loopback-64MiB,7,0.021816,0.022532285714285713,0.0209753,0.0251544,0.0016842777298974694
on-no-vmware,tcp-loopback-rtt-1B,7,0.0327596,0.033013685714285715,0.0309602,0.0359865,0.0018352789955286275
