runId,round,warmup,condition,workload,nsPerOperation,seconds
exit-20260916T013156628Z,0,True,resident-nested-hidehv,cpuid,2943.931,0.2943931
exit-20260916T013157035Z,0,True,resident-nested-hidehv,ping,16701.25,0.0334025
exit-20260916T013157177Z,0,True,resident,cpuid,2901.179,0.2901179
exit-20260916T013157539Z,0,True,resident,ping,16586.35,0.0331727
exit-20260916T013157664Z,0,True,resident-nested-fullsnapshot,cpuid,2910.825,0.2910825
exit-20260916T013158056Z,0,True,resident-nested-fullsnapshot,ping,16827.05,0.0336541
exit-20260916T013158182Z,0,True,resident-vmread256,cpuid,4906.585,0.4906585
exit-20260916T013158747Z,0,True,resident-vmread256,ping,16826.6,0.0336532
exit-20260916T013158872Z,0,True,resident-vmread512,cpuid,6830.757,0.6830757
exit-20260916T013159627Z,0,True,resident-vmread512,ping,17140.5,0.034281
exit-20260916T013159752Z,0,True,off,cpuid,326.094,0.0326094
exit-20260916T013159846Z,0,True,off,ping,12971.8,0.0259436
exit-20260916T013159956Z,1,False,resident-vmread256,cpuid,4942.857,0.4942857
exit-20260916T013200518Z,1,False,resident-vmread256,ping,16907.5,0.033815
exit-20260916T013200659Z,1,False,resident-nested-fullsnapshot,cpuid,2923.286,0.2923286
exit-20260916T013201018Z,1,False,resident-nested-fullsnapshot,ping,17474.45,0.0349489
exit-20260916T013201159Z,1,False,resident,cpuid,2901.462,0.2901462
exit-20260916T013201518Z,1,False,resident,ping,16777.65,0.0335553
exit-20260916T013201643Z,1,False,resident-nested-hidehv,cpuid,2901.263,0.2901263
exit-20260916T013202003Z,1,False,resident-nested-hidehv,ping,16803.0,0.033606
exit-20260916T013202114Z,1,False,off,cpuid,332.792,0.0332792
exit-20260916T013202225Z,1,False,off,ping,13118.4,0.0262368
exit-20260916T013202335Z,1,False,resident-vmread512,cpuid,6887.112,0.6887112
exit-20260916T013203103Z,1,False,resident-vmread512,ping,16935.25,0.0338705
exit-20260916T013203229Z,2,False,resident-nested-fullsnapshot,cpuid,2962.773,0.2962773
exit-20260916T013203591Z,2,False,resident-nested-fullsnapshot,ping,16741.55,0.0334831
exit-20260916T013203716Z,2,False,off,cpuid,316.16,0.031616
exit-20260916T013203826Z,2,False,off,ping,13012.4,0.0260248
exit-20260916T013203935Z,2,False,resident-vmread256,cpuid,4897.176,0.4897176
exit-20260916T013204502Z,2,False,resident-vmread256,ping,16584.9,0.0331698
exit-20260916T013204627Z,2,False,resident-nested-hidehv,cpuid,2982.824,0.2982824
exit-20260916T013204987Z,2,False,resident-nested-hidehv,ping,18642.15,0.0372843
exit-20260916T013205127Z,2,False,resident,cpuid,3060.281,0.3060281
exit-20260916T013205518Z,2,False,resident,ping,18694.25,0.0373885
exit-20260916T013205658Z,2,False,resident-vmread512,cpuid,6998.526,0.6998526
exit-20260916T013206424Z,2,False,resident-vmread512,ping,16876.45,0.0337529
exit-20260916T013206549Z,3,False,off,cpuid,341.013,0.0341013
exit-20260916T013206659Z,3,False,off,ping,13968.85,0.0279377
exit-20260916T013206800Z,3,False,resident-nested-hidehv,cpuid,3068.975,0.3068975
exit-20260916T013207174Z,3,False,resident-nested-hidehv,ping,18637.3,0.0372746
exit-20260916T013207315Z,3,False,resident-nested-fullsnapshot,cpuid,2944.212,0.2944212
exit-20260916T013207690Z,3,False,resident-nested-fullsnapshot,ping,16596.3,0.0331926
exit-20260916T013207815Z,3,False,resident,cpuid,2931.253,0.2931253
exit-20260916T013208190Z,3,False,resident,ping,16681.35,0.0333627
exit-20260916T013208315Z,3,False,resident-vmread512,cpuid,6848.443,0.6848443
exit-20260916T013209065Z,3,False,resident-vmread512,ping,17404.0,0.034808
exit-20260916T013209205Z,3,False,resident-vmread256,cpuid,4995.984,0.4995984
exit-20260916T013209769Z,3,False,resident-vmread256,ping,16842.0,0.033684
exit-20260916T013209894Z,4,False,resident-vmread256,cpuid,5043.447,0.5043447
exit-20260916T013210477Z,4,False,resident-vmread256,ping,16956.05,0.0339121
exit-20260916T013210617Z,4,False,resident-nested-fullsnapshot,cpuid,2903.576,0.2903576
exit-20260916T013210977Z,4,False,resident-nested-fullsnapshot,ping,16345.55,0.0326911
exit-20260916T013211103Z,4,False,resident-nested-hidehv,cpuid,2902.737,0.2902737
exit-20260916T013211466Z,4,False,resident-nested-hidehv,ping,17120.9,0.0342418
exit-20260916T013211591Z,4,False,resident,cpuid,2905.918,0.2905918
exit-20260916T013211951Z,4,False,resident,ping,17518.35,0.0350367
exit-20260916T013212065Z,4,False,off,cpuid,319.989,0.0319989
exit-20260916T013212171Z,4,False,off,ping,13100.25,0.0262005
exit-20260916T013212284Z,4,False,resident-vmread512,cpuid,6810.723,0.6810723
exit-20260916T013213034Z,4,False,resident-vmread512,ping,16819.05,0.0336381
exit-20260916T013213161Z,5,False,resident,cpuid,2897.314,0.2897314
exit-20260916T013213524Z,5,False,resident,ping,16669.55,0.0333391
exit-20260916T013213633Z,5,False,off,cpuid,348.257,0.0348257
exit-20260916T013213742Z,5,False,off,ping,12736.95,0.0254739
exit-20260916T013213852Z,5,False,resident-nested-fullsnapshot,cpuid,3615.709,0.3615709
exit-20260916T013214293Z,5,False,resident-nested-fullsnapshot,ping,17357.2,0.0347144
exit-20260916T013214420Z,5,False,resident-nested-hidehv,cpuid,2915.062,0.2915062
exit-20260916T013214779Z,5,False,resident-nested-hidehv,ping,17050.65,0.0341013
