runId,round,warmup,condition,requests,rttP50Us,rttP95Us,rttP99Us,rttMaxUs,completionGapMaxUs,commandOverlapGapMaxUs,commandDurationMs,driverCommandUs,rendezvousUs
latency-20260916T013216524Z,0,True,sham-off,3097,52.6,94.61999999999998,158.99999999999983,5837.9,7782.3,2068.2,19.2114,,
latency-20260916T013223342Z,0,True,insert,3145,63.2,115.7,271.6079999999994,20292.9,22233.5,2089.4,20.1568,2363.9,147.1
latency-20260916T013229442Z,0,True,sham-on,3076,67.5,124.5,176.85,3163.7,6475.4,2723.9,20.4073,,
latency-20260916T013235542Z,0,True,remove,3120,57.3,112.0199999999999,179.362,2752.2,4748.8,2024.5,18.8537,785.7,51.4
latency-20260916T013241656Z,1,False,sham-off,3142,49.8,94.36999999999989,139.1130000000001,3024.7,4970.3,2068.2,19.1169,,
latency-20260916T013247763Z,1,False,insert,3124,57.9,110.27999999999993,201.1879999999999,2920.9,4857.7,2187.3,18.8662,2485.5,100.5
latency-20260916T013253864Z,1,False,sham-on,3064,74.4,153.66999999999996,234.57399999999998,3035.0,4984.9,3894.4,20.9034,,
latency-20260916T013259967Z,1,False,remove,3107,66.3,125.3,187.4720000000002,2953.7,4928.8,2103.1,20.6794,974.4,58.8
latency-20260916T013306082Z,2,False,sham-off,3148,52.2,92.62999999999992,149.37799999999933,2568.2,4534.8,2112.5,19.1702,,
latency-20260916T013312186Z,2,False,insert,3102,66.0,138.9,212.21899999999823,2396.6,4260.6,2121.7,20.3926,2595.3,148.2
latency-20260916T013318287Z,2,False,sham-on,3080,65.95,122.00499999999997,181.30900000000008,2380.4,4370.7,2456.5,20.6321,,
latency-20260916T013324394Z,2,False,remove,3103,63.3,115.68999999999997,182.65200000000004,3533.1,5542.2,4770.1,18.785,1142.7,393.8
latency-20260916T013330492Z,3,False,sham-off,3090,71.8,139.50999999999993,196.04400000000004,4183.7,6087.8,2081.5,20.6651,,
latency-20260916T013336606Z,3,False,insert,3066,81.3,145.275,224.42499999999987,3342.7,5229.4,2067.6,19.7973,2932.5,111.9
latency-20260916T013342715Z,3,False,sham-on,3050,81.5,135.855,209.60599999999985,3463.6,5554.0,2109.6,21.1752,,
latency-20260916T013348825Z,3,False,remove,3082,72.5,126.39499999999998,183.91400000000004,2857.5,4818.7,2043.7,18.9093,937.2,48.3
latency-20260916T013354933Z,4,False,sham-off,3092,66.2,113.24499999999998,174.11800000000002,3144.5,5112.8,2812.2,21.252,,
latency-20260916T013401044Z,4,False,insert,3077,76.6,145.43999999999997,222.76399999999975,4475.2,6442.5,2089.5,19.92,2576.6,111.6
latency-20260916T013407162Z,4,False,sham-on,3043,81.7,139.79000000000002,214.18799999999973,16182.3,18649.5,2154.7,22.2616,,
latency-20260916T013413284Z,4,False,remove,3058,76.4,135.47500000000005,199.84399999999988,3373.1,5470.2,2083.0,19.5551,1275.2,48.3
latency-20260916T013419395Z,5,False,sham-off,3092,65.35,108.83499999999995,166.99000000000015,2971.4,4929.2,2103.4,18.8103,,
latency-20260916T013425493Z,5,False,insert,3077,72.6,131.2,197.7359999999997,4340.5,6230.0,6230.0,20.367,3053.9,108.1
latency-20260916T013431609Z,5,False,sham-on,3065,83.3,140.75999999999996,195.97200000000004,3636.4,5592.4,2046.9,21.4586,,
latency-20260916T013437718Z,5,False,remove,3045,82.1,159.25999999999996,247.07599999999988,3134.1,5060.6,2087.3,24.2306,1107.4,55.8
